GroupID,GroupName,MasterCategoryID,MasterCategoryName,CategoryID,CategoryName,SubCategoryID,SubCategoryName,isSubCategory
8322,Nhà Sách Tiki,320,English Books,5308.0,Education - Teaching,14896.0,"Grammar, vocabulary & skills",1.0
8322,Nhà Sách Tiki,320,English Books,5308.0,Education - Teaching,14898.0,Graded Readers,1.0
8322,Nhà Sách Tiki,320,English Books,5308.0,Education - Teaching,14900.0,Test Preparation,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,142.0,Children's Action & Adventure,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,139.0,Classic,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,140.0,Contemporary,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,10997.0,Dramas & Plays,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,141.0,Historical Fiction,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,73.0,Humor & Satire,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,10996.0,Literary,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,8.0,"Mystery, Thriller & Suspense",1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,9864.0,Mythology & Folk Tales,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,9422.0,Romance,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,10995.0,Short Stories & Anthologies,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,145.0,Poetry,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,110.0,History - Criticism,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,14920.0,Comics & Graphic Novels,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,14922.0,Women's Fiction,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,11016.0,Science Fiction & Fantasy,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,68095.0,Ancient & Medieval Literature,1.0
8322,Nhà Sách Tiki,320,English Books,9.0,Fiction - Literature,68096.0,World Literature,1.0
8322,Nhà Sách Tiki,320,English Books,6445.0,Magazines,6445.0,Magazines,0.0
8322,Nhà Sách Tiki,320,English Books,218.0,Medical Books,68100.0,Basic Medical Sciences,1.0
8322,Nhà Sách Tiki,320,English Books,218.0,Medical Books,68101.0,Dentistry,1.0
8322,Nhà Sách Tiki,320,English Books,218.0,Medical Books,68102.0,Medical Research,1.0
8322,Nhà Sách Tiki,320,English Books,218.0,Medical Books,68103.0,Medicine,1.0
8322,Nhà Sách Tiki,320,English Books,218.0,Medical Books,68104.0,Nursing,1.0
8322,Nhà Sách Tiki,320,English Books,28.0,Parenting & Relationships,178.0,Marriage & Adult Relationships,1.0
8322,Nhà Sách Tiki,320,English Books,28.0,Parenting & Relationships,210.0,Pregnancy & Childbirth,1.0
8322,Nhà Sách Tiki,320,English Books,28.0,Parenting & Relationships,9911.0,"Babysitting, Day Care & Child Care",1.0
8322,Nhà Sách Tiki,320,English Books,28.0,Parenting & Relationships,209.0,Parenting,1.0
8322,Nhà Sách Tiki,320,English Books,28.0,Parenting & Relationships,211.0,Family Health & Relationship,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,193.0,Crafts & Hobbies,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,11027.0,"Health, Fitness & Sports",1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,11026.0,Home Living,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,162.0,Psychology,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,29.0,Professions,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,15714.0,Atlases - Encyclopedia,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,15716.0,Gardening,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,68111.0,Almanacs & Yearbooks,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,68112.0,Consumer Guides,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,68113.0,Foreign Language Reference,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,68114.0,Jobs & Careers,1.0
8322,Nhà Sách Tiki,320,English Books,5309.0,Reference,68115.0,Quotation Reference Books,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,11030.0,Archaeology,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,11031.0,Astronomy & Space Science,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,242.0,Agriculture & Forestry,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,11032.0,Environment,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,11034.0,Mathematics,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,11035.0,Nature & Ecology,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,11028.0,Human & Biology Science,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,10.0,Internet - Computers,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,24732.0,Others,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,68127.0,Chemistry,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,68128.0,Earth Sciences,1.0
8322,Nhà Sách Tiki,320,English Books,269.0,Science - Technology,68129.0,Physics,1.0
8322,Nhà Sách Tiki,320,English Books,632.0,"History, Politics & Social Sciences",11021.0,Anthropology,1.0
8322,Nhà Sách Tiki,320,English Books,632.0,"History, Politics & Social Sciences",11022.0,Philosophy,1.0
8322,Nhà Sách Tiki,320,English Books,632.0,"History, Politics & Social Sciences",11023.0,Politics & Current Affairs,1.0
8322,Nhà Sách Tiki,320,English Books,632.0,"History, Politics & Social Sciences",11024.0,Social Sciences,1.0
8322,Nhà Sách Tiki,320,English Books,632.0,"History, Politics & Social Sciences",11025.0,Sociology,1.0
8322,Nhà Sách Tiki,320,English Books,632.0,"History, Politics & Social Sciences",24.0,History,1.0
8322,Nhà Sách Tiki,320,English Books,632.0,"History, Politics & Social Sciences",158.0,Religion and Spirituality,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,274.0,Americas,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,271.0,Asia,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,272.0,Australia & South Pacific,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,273.0,Europe,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,276.0,Vietnam,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,275.0,Guidebook series,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,14924.0,Discovery & Exploration,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,51186.0,Sách Tiếng Anh Mùa Giáng Sinh (Christmas - Santa Claus),1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,68130.0,Food & Lodging Travel Reference,1.0
8322,Nhà Sách Tiki,320,English Books,32.0,Travel & Holiday,68131.0,Travel Tips,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",161.0,Diets - Weight Loss - Nutrition,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",159.0,Drinks & Beverages,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",163.0,"Ingredients, Methods & Appliances",1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",14858.0,Regional - International,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",14860.0,Baking - Desserts,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",14862.0,Vegetarian & Vegan,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",68078.0,Beverages & Wine,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",68088.0,Cooking Education & Reference,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",68089.0,Main Courses & Side Dishes,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",68090.0,Outdoor Cooking,1.0
8322,Nhà Sách Tiki,320,English Books,21.0,"Cookbooks, Food & Wine",68091.0,Professional Cooking,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,4933.0,Du ký,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,7358.0,Light novel,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,5244.0,Phê Bình - Lý Luận Văn Học,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,5245.0,Phóng sự - Ký sự - Bút ký,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,842.0,Tác phẩm kinh điển,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,446.0,Thơ,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,843.0,Tiểu sử - Hồi ký,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,844.0,Tiểu Thuyết,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,8973.0,Tranh Truyện,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,10079.0,Truyện cổ tích - Ngụ ngôn,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,444.0,Truyện cười,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,6750.0,Truyện dài,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,839.0,Sách văn học,1367.0,Truyện đam mỹ,1.0
