Type_ID,Type_Name,Child_ID,Child_Name,Parent_ID,Parent_Name,Group_ID,Group_Name
10995.0,Short Stories & Anthologies,9.0,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
145.0,Poetry,9.0,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
14920.0,Comics & Graphic Novels,9.0,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
14922.0,Women's Fiction,9.0,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
11016.0,Science Fiction & Fantasy,9.0,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
,,6445.0,Magazines,320,English Books,8322,Nhà Sách Tiki
,,218.0,Medical Books,320,English Books,8322,Nhà Sách Tiki
178.0,Marriage & Adult Relationships,28.0,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
9911.0,"Babysitting, Day Care & Child Care",28.0,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
209.0,Parenting,28.0,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
9910.0,Family Relationships,28.0,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
211.0,Family Health & Relationship,28.0,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
193.0,Crafts & Hobbies,5309.0,Reference,320,English Books,8322,Nhà Sách Tiki
11027.0,"Health, Fitness & Sports",5309.0,Reference,320,English Books,8322,Nhà Sách Tiki
11026.0,Home Living,5309.0,Reference,320,English Books,8322,Nhà Sách Tiki
162.0,Psychology,5309.0,Reference,320,English Books,8322,Nhà Sách Tiki
29.0,Professions,5309.0,Reference,320,English Books,8322,Nhà Sách Tiki
15714.0,Atlases - Encyclopedia,5309.0,Reference,320,English Books,8322,Nhà Sách Tiki
15716.0,Gardening,5309.0,Reference,320,English Books,8322,Nhà Sách Tiki
11031.0,Astronomy & Space Science,269.0,Science - Technology,320,English Books,8322,Nhà Sách Tiki
242.0,Agriculture & Forestry,269.0,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11032.0,Environment,269.0,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11034.0,Mathematics,269.0,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11035.0,Nature & Ecology,269.0,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11028.0,Human & Biology Science,269.0,Science - Technology,320,English Books,8322,Nhà Sách Tiki
10.0,Internet - Computers,269.0,Science - Technology,320,English Books,8322,Nhà Sách Tiki
24732.0,Others,269.0,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11021.0,Anthropology,632.0,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11022.0,Philosophy,632.0,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11023.0,Politics & Current Affairs,632.0,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11024.0,Social Sciences,632.0,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11025.0,Sociology,632.0,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
24.0,History,632.0,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
158.0,Religion and Spirituality,632.0,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
273.0,Europe,32.0,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
276.0,Vietnam,32.0,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
