PricingID,ProductID,CurrentPrice,OriginalPrice,LastUpdated
106,248808510,11040000,11040000,2024-05-15 22:34:25.132964
107,225917309,18590000,18590000,2024-05-15 22:34:25.132964
108,248810963,11040000,11040000,2024-05-15 22:34:25.132964
109,205999091,26390000,26390000,2024-05-15 22:34:25.132964
110,206051973,29590000,29590000,2024-05-15 22:34:25.132964
111,186584312,19490000,19490000,2024-05-15 22:34:25.132964
112,273519208,26990000,26990000,2024-05-15 22:34:25.132964
113,251547184,24588000,24588000,2024-05-15 22:34:25.132964
114,199691055,20571600,20571600,2024-05-15 22:34:25.132964
115,249035977,17640000,17640000,2024-05-15 22:34:25.132964
116,210941886,16310400,16310400,2024-05-15 22:34:25.132964
117,195902379,22080000,22080000,2024-05-15 22:34:25.132964
118,205962360,20290000,20290000,2024-05-15 22:34:25.132964
119,225917324,17640000,17640000,2024-05-15 22:34:25.132964
120,225917269,13188000,13188000,2024-05-15 22:34:25.132964
121,252064720,11580000,11580000,2024-05-15 22:34:25.132964
122,273520871,23490000,23490000,2024-05-15 22:34:25.132964
123,273523285,26590000,26590000,2024-05-15 22:34:25.132964
124,198995750,24990000,24990000,2024-05-15 22:34:25.132964
125,273498232,23990000,23990000,2024-05-15 22:34:25.132964
126,274754596,15790000,20390000,2024-05-15 22:34:25.132964
127,210941894,18990000,18990000,2024-05-15 22:34:25.132964
128,273458720,12990000,12990000,2024-05-15 22:34:25.132964
129,190725441,14650000,14650000,2024-05-15 22:34:25.132964
130,213755302,22990000,22990000,2024-05-15 22:34:25.132964
131,271389249,43990000,43990000,2024-05-15 22:34:25.132964
132,253414659,21690000,21690000,2024-05-15 22:34:25.132964
133,213867594,11680000,11680000,2024-05-15 22:34:25.132964
134,273292838,15490000,19890000,2024-05-15 22:34:25.132964
135,274033248,9390000,12690000,2024-05-15 22:34:25.132964
136,273645750,22590000,22590000,2024-05-15 22:34:25.132964
137,214615800,24358000,24358000,2024-05-15 22:34:25.132964
138,210941895,19188000,19188000,2024-05-15 22:34:25.132964
