ReferenceID,SubCategoryID,ProductID,BrandName
1795184036446,1795,184036446,Apple
1795184059211,1795,184059211,Apple
179557809866,1795,57809866,Xiaomi
1795120295859,1795,120295859,Nokia
1795123345348,1795,123345348,Apple
1795121744434,1795,121744434,Xiaomi
1795189466001,1795,189466001,Xiaomi
1795125590981,1795,125590981,Nokia
1795126050455,1795,126050455,Nokia
1795172329599,1795,172329599,Xiaomi
179529931445,1795,29931445,Ulefone
1795181266509,1795,181266509,Ulefone
1795140184098,1795,140184098,Vsmart
1795192859201,1795,192859201,Oukitel
1795181918564,1795,181918564,Oukitel
1795197966909,1795,197966909,Samsung
1795155833852,1795,155833852,Masstel
1795143359355,1795,143359355,Tecno
1795151463645,1795,151463645,Bphone
1795158895857,1795,158895857,Vivo
1795140144656,1795,140144656,Realme
1795147969070,1795,147969070,Itel
1795196760330,1795,196760330,Vivo
1795181216830,1795,181216830,ZTE
1795140747649,1795,140747649,Realme
1795249955152,1795,249955152,Xiaomi
1795249890023,1795,249890023,Xiaomi
1795192348147,1795,192348147,OPPO
1795213931247,1795,213931247,Samsung
1795247730209,1795,247730209,Samsung
1795244355503,1795,244355503,Samsung
1795273640492,1795,273640492,Samsung
1795245770363,1795,245770363,Samsung
1795262589811,1795,262589811,Samsung
1795273388474,1795,273388474,Ulefone
1795273360836,1795,273360836,Ulefone
1795261965186,1795,261965186,Xiaomi
1795255866251,1795,255866251,Samsung
1795253443894,1795,253443894,Samsung
1795270636882,1795,270636882,Samsung
1795273664463,1795,273664463,OPPO
1795249168949,1795,249168949,Samsung
1795274856742,1795,274856742,Xiaomi
1795274857095,1795,274857095,Xiaomi
1795249178196,1795,249178196,Samsung
1795204671569,1795,204671569,OPPO
1795273366296,1795,273366296,Ulefone
1795274099409,1795,274099409,Xiaomi
1795273016223,1795,273016223,Xiaomi
1795274440344,1795,274440344,Xiaomi
1795273373420,1795,273373420,Xiaomi
1795274840632,1795,274840632,Xiaomi
1795252428990,1795,252428990,Tecno
1795271730109,1795,271730109,Ulefone
1795274116886,1795,274116886,Xiaomi
1795204872160,1795,204872160,OPPO
1795273955111,1795,273955111,OPPO
1795274610468,1795,274610468,Samsung
1795274639765,1795,274639765,OPPO
1795270510406,1795,270510406,Vivo
1795273942001,1795,273942001,Xiaomi
1795274498287,1795,274498287,Samsung
1795274568845,1795,274568845,Xiaomi
1795273897590,1795,273897590,Tecno
1795274544634,1795,274544634,Xiaomi
1795274191773,1795,274191773,Tecno
1795273411988,1795,273411988,Xiaomi
1795274762212,1795,274762212,Samsung
1795273258830,1795,273258830,Samsung
1795197214029,1795,197214029,Apple
1795274506430,1795,274506430,Xiaomi
1795271235147,1795,271235147,OPPO
1795271982547,1795,271982547,Oukitel
1795260406257,1795,260406257,Oukitel
1795190544267,1795,190544267,OPPO
1795191689878,1795,191689878,OPPO
1795273359059,1795,273359059,Oukitel
1795273430216,1795,273430216,Ulefone
1795207268158,1795,207268158,Samsung
1795212040689,1795,212040689,Samsung
1795168320000,1795,168320000,Xiaomi
1795248704404,1795,248704404,Samsung
1795273127929,1795,273127929,Xiaomi
1795270832077,1795,270832077,Xiaomi
1795273373436,1795,273373436,Xiaomi
1795271494404,1795,271494404,Tecno
1795193366048,1795,193366048,OnePlus 
1795273636845,1795,273636845,Samsung
1795251275686,1795,251275686,OPPO
1795262514707,1795,262514707,Xiaomi
1795262516014,1795,262516014,Samsung
1795274542883,1795,274542883,Samsung
1795274059475,1795,274059475,Samsung
1795274316885,1795,274316885,Xiaomi
1795190701486,1795,190701486,OPPO
1795225228869,1795,225228869,Samsung
1795272909668,1795,272909668,Vivo
1795249156531,1795,249156531,Realme
1795251930431,1795,251930431,Samsung
179565091422,1795,65091422,Oukitel
1795273718967,1795,273718967,Samsung
1795274392442,1795,274392442,OPPO
1795271134741,1795,271134741,Samsung
1795263274580,1795,263274580,Samsung
1795244303202,1795,244303202,Samsung
1795258667842,1795,258667842,Xiaomi
1795273438724,1795,273438724,Samsung
1795273252926,1795,273252926,OPPO
1795270736028,1795,270736028,Samsung
1795270160350,1795,270160350,OPPO
1795274608056,1795,274608056,Samsung
1795272270730,1795,272270730,Samsung
1795273774937,1795,273774937,Samsung
1795230157205,1795,230157205,Xiaomi
1795274617822,1795,274617822,Samsung
1795274498288,1795,274498288,Samsung
1795274166857,1795,274166857,Samsung
1795198858451,1795,198858451,Samsung
1795274639670,1795,274639670,Realme
1795261946899,1795,261946899,Samsung
1795272348047,1795,272348047,Samsung
1795271128271,1795,271128271,OPPO
1795274507025,1795,274507025,Realme
1795212040697,1795,212040697,Samsung
1795263073555,1795,263073555,Tecno
1795274179544,1795,274179544,Realme
1795271966786,1795,271966786,Apple
1795273958512,1795,273958512,Xiaomi
1795273610368,1795,273610368,Samsung
1795273389282,1795,273389282,Ulefone
1795176438864,1795,176438864,Xiaomi
1795274065746,1795,274065746,Oukitel
1795219400421,1795,219400421,OPPO
1795244332381,1795,244332381,Samsung
1795251930414,1795,251930414,Xiaomi
1795225960096,1795,225960096,Samsung
1795250109584,1795,250109584,Xiaomi
1795273185467,1795,273185467,Samsung
1795273378164,1795,273378164,Xiaomi
1795242771940,1795,242771940,Samsung
1795248754839,1795,248754839,OPPO
1795272234493,1795,272234493,Samsung
1795273595363,1795,273595363,Oukitel
1795243165179,1795,243165179,OPPO
1795274564360,1795,274564360,Xiaomi
1795249168300,1795,249168300,OPPO
1795274542808,1795,274542808,Samsung
1795273186911,1795,273186911,OPPO
1795205846229,1795,205846229,OPPO
1795274611998,1795,274611998,Xiaomi
