PricingID,ProductID,CurrentPrice,OriginalPrice,LastUpdated
1,173151886,7000000,0,2024-06-26 10:30:30.419860
2,189572223,10750000,10750000,2024-06-26 10:30:30.419860
3,189572199,10350000,10350000,2024-06-26 10:30:30.419860
4,263753733,16190000,21190000,2024-06-26 10:30:30.419860
5,273513557,14890000,18090000,2024-06-26 10:30:30.419860
6,272354928,9190000,11690000,2024-06-26 10:30:30.419860
7,247443969,17143200,17143200,2024-06-26 10:30:30.419860
8,252566338,15000000,15000000,2024-06-26 10:30:30.419860
9,273524532,15890000,0,2024-06-26 10:30:30.419860
10,252566514,15000000,15000000,2024-06-26 10:30:30.419860
11,270958179,17190000,20490000,2024-06-26 10:30:30.419860
12,247443890,16788000,16788000,2024-06-26 10:30:30.419860
13,273513559,17390000,21290000,2024-06-26 10:30:30.419860
14,222529881,19900000,19900000,2024-06-26 10:30:30.419860
15,225195503,16680000,16680000,2024-06-26 10:30:30.419860
16,272828266,15590000,0,2024-06-26 10:30:30.419860
17,225195387,16020000,16020000,2024-06-26 10:30:30.419860
18,273698446,25890000,37990000,2024-06-26 10:30:30.419860
19,273472177,14690000,18590000,2024-06-26 10:30:30.419860
20,273716533,14490000,18890000,2024-06-26 10:30:30.419860
21,273949286,16490000,22900000,2024-06-26 10:30:30.419860
22,274016468,12190000,16190000,2024-06-26 10:30:30.419860
23,274368447,12190000,15890000,2024-06-26 10:30:30.419860
24,273472091,9090000,11590000,2024-06-26 10:30:30.419860
25,247656002,18000000,18000000,2024-06-26 10:30:30.419860
26,272837816,15750000,18390000,2024-06-26 10:30:30.419860
27,160445997,16020000,16020000,2024-06-26 10:30:30.419860
28,247719163,15890000,20999000,2024-06-26 10:30:30.419860
29,272178565,19790000,0,2024-06-26 10:30:30.419860
30,272177964,19990000,19990000,2024-06-26 10:30:30.419860
31,274792349,28290000,36290000,2024-06-26 10:30:30.419860
32,274935091,30790000,39490000,2024-06-26 10:30:30.419860
33,274791956,16490000,21790000,2024-06-26 10:30:30.419860
34,274016489,17390000,23090000,2024-06-26 10:30:30.419860
35,274934516,26890000,34490000,2024-06-26 10:30:30.419860
36,273506176,19090000,22890000,2024-06-26 10:30:30.419860
37,272178405,18990000,0,2024-06-26 10:30:30.419860
38,272186808,23990000,0,2024-06-26 10:30:30.419860
39,274643985,17190000,22100000,2024-06-26 10:30:30.419860
40,158222541,6169000,7900000,2024-06-26 10:30:30.419860
41,263575487,3380000,3380000,2024-06-26 10:30:30.419860
42,274499417,3490000,3490000,2024-06-26 10:30:30.419860
43,274052520,2600000,2600000,2024-06-26 10:30:30.419860
44,270849806,2430000,2430000,2024-06-26 10:30:30.419860
45,273603553,2800000,2800000,2024-06-26 10:30:30.419860
46,193513631,3980000,0,2024-06-26 10:30:30.419860
47,252387297,2699000,2699000,2024-06-26 10:30:30.419860
48,205698763,2998000,2998000,2024-06-26 10:30:30.419860
49,157468943,9550000,10300000,2024-06-26 10:30:30.419860
50,222662600,14910000,0,2024-06-26 10:30:30.419860
51,177813851,9490000,0,2024-06-26 10:30:30.419860
52,273947683,4590000,4590000,2024-06-26 10:30:30.419860
53,220677323,11550000,0,2024-06-26 10:30:30.419860
54,272392885,10490000,10490000,2024-06-26 10:30:30.419860
55,19606283,6990000,0,2024-06-26 10:30:30.419860
56,274877316,8290000,8290000,2024-06-26 10:30:30.419860
57,273604740,3900000,3900000,2024-06-26 10:30:30.419860
58,262822431,2690000,2690000,2024-06-26 10:30:30.419860
59,111954198,6490000,0,2024-06-26 10:30:30.419860
60,272587446,2980000,2980000,2024-06-26 10:30:30.419860
61,220683274,8200000,0,2024-06-26 10:30:30.419860
62,143183383,2880000,2880000,2024-06-26 10:30:30.419860
63,274090985,2890000,2890000,2024-06-26 10:30:30.419860
64,222662899,24990000,0,2024-06-26 10:30:30.419860
65,270954207,7690000,7690000,2024-06-26 10:30:30.419860
66,143144589,4539000,4539000,2024-06-26 10:30:30.419860
67,270458462,4899000,4899000,2024-06-26 10:30:30.419860
68,220670406,10490000,0,2024-06-26 10:30:30.419860
69,247754766,3989000,0,2024-06-26 10:30:30.419860
70,220684346,7490000,0,2024-06-26 10:30:30.419860
71,70052318,17490000,0,2024-06-26 10:30:30.419860
72,270458103,3780000,3780000,2024-06-26 10:30:30.419860
73,220753749,6490000,0,2024-06-26 10:30:30.419860
74,197418115,24999000,0,2024-06-26 10:30:30.419860
75,199242727,10790000,0,2024-06-26 10:30:30.419860
76,212992227,14900000,0,2024-06-26 10:30:30.419860
77,220679413,7030000,0,2024-06-26 10:30:30.419860
78,192674407,21999000,0,2024-06-26 10:30:30.419860
79,183514058,12990000,0,2024-06-26 10:30:30.419860
80,270771620,7990000,7990000,2024-06-26 10:30:30.419860
81,272474227,6900000,0,2024-06-26 10:30:30.419860
82,248052660,12825000,0,2024-06-26 10:30:30.419860
83,273678387,6990000,6990000,2024-06-26 10:30:30.419860
84,57268501,5290000,5290000,2024-06-26 10:30:30.419860
85,98732914,5290000,5290000,2024-06-26 10:30:30.419860
86,108423866,5800000,5800000,2024-06-26 10:30:30.419860
87,57269938,8600000,8600000,2024-06-26 10:30:30.419860
88,262083816,5990000,5990000,2024-06-26 10:30:30.419860
89,201853988,6490000,0,2024-06-26 10:30:30.419860
90,75644952,12790000,0,2024-06-26 10:30:30.419860
91,188896580,5790000,0,2024-06-26 10:30:30.419860
92,252680403,9690000,9690000,2024-06-26 10:30:30.419860
93,252680559,16490000,16490000,2024-06-26 10:30:30.419860
94,72082905,7590000,7590000,2024-06-26 10:30:30.419860
95,69904929,5490000,5490000,2024-06-26 10:30:30.419860
96,169039064,1388000,1450000,2024-06-26 10:30:30.419860
97,125893668,1420000,0,2024-06-26 10:30:30.419860
98,129937282,9890000,9890000,2024-06-26 10:30:30.419860
99,44984825,1690000,1690000,2024-06-26 10:30:30.419860
100,274461881,1180000,1990000,2024-06-26 10:30:30.419860
101,252174854,10650000,10650000,2024-06-26 10:30:30.419860
102,48984949,1095000,1095000,2024-06-26 10:30:30.419860
103,273356088,3542000,3542000,2024-06-26 10:30:30.419860
104,262082497,1349000,1349000,2024-06-26 10:30:30.419860
105,271411861,15468000,15468000,2024-06-26 10:30:30.419860
106,271416950,3950000,3950000,2024-06-26 10:30:30.419860
107,77182076,3590000,3590000,2024-06-26 10:30:30.419860
108,263389345,3278000,3278000,2024-06-26 10:30:30.419860
109,274763756,2915000,2915000,2024-06-26 10:30:30.419860
110,59275108,640000,640000,2024-06-26 10:30:30.419860
111,1655859,750000,0,2024-06-26 10:30:30.419860
112,458163,320000,320000,2024-06-26 10:30:30.419860
113,32753254,1781000,1781000,2024-06-26 10:30:30.419860
114,73937067,796000,796000,2024-06-26 10:30:30.419860
115,178713835,796000,796000,2024-06-26 10:30:30.419860
116,54686649,698000,698000,2024-06-26 10:30:30.419860
117,212945220,629000,629000,2024-06-26 10:30:30.419860
118,273054332,2860000,0,2024-06-26 10:30:30.419860
119,272840052,4900000,4900000,2024-06-26 10:30:30.419860
120,216450913,10500000,10500000,2024-06-26 10:30:30.419860
121,273791756,4990000,4990000,2024-06-26 10:30:30.419860
122,225208138,1884000,1884000,2024-06-26 10:30:30.419860
123,274849726,3590000,3590000,2024-06-26 10:30:30.419860
124,15507113,1500000,1500000,2024-06-26 10:30:30.419860
125,959553,1520000,1520000,2024-06-26 10:30:30.419860
126,22050384,1590000,1590000,2024-06-26 10:30:30.419860
127,30008379,1390000,1390000,2024-06-26 10:30:30.419860
128,188406988,1612000,1777000,2024-06-26 10:30:30.419860
129,196293197,1439000,1439000,2024-06-26 10:30:30.419860
130,186881737,7278000,7950000,2024-06-26 10:30:30.419860
131,174566339,2190000,2190000,2024-06-26 10:30:30.419860
132,48650731,1550000,1550000,2024-06-26 10:30:30.419860
133,188407008,2750000,2750000,2024-06-26 10:30:30.419860
134,86155648,1650000,1650000,2024-06-26 10:30:30.419860
135,193878779,1590000,1590000,2024-06-26 10:30:30.419860
136,216476612,1290000,1290000,2024-06-26 10:30:30.419860
137,270471019,900000,900000,2024-06-26 10:30:30.419860
138,216464925,1290000,1290000,2024-06-26 10:30:30.419860
139,270472217,1290000,1290000,2024-06-26 10:30:30.419860
140,273893759,2790000,2790000,2024-06-26 10:30:30.419860
141,270472601,1690000,1690000,2024-06-26 10:30:30.419860
142,273000944,3890000,3890000,2024-06-26 10:30:30.419860
143,270972089,2680000,2680000,2024-06-26 10:30:30.419860
144,270871441,7278000,7950000,2024-06-26 10:30:30.419860
145,271369952,1200000,1200000,2024-06-26 10:30:30.419860
146,272185398,1800000,1800000,2024-06-26 10:30:30.419860
147,270472129,1250000,1250000,2024-06-26 10:30:30.419860
148,216476196,1790000,0,2024-06-26 10:30:30.419860
149,263776862,5190000,5190000,2024-06-26 10:30:30.419860
150,251407352,1490000,1490000,2024-06-26 10:30:30.419860
151,273702279,4016000,4016000,2024-06-26 10:30:30.419860
152,273001445,1980000,1980000,2024-06-26 10:30:30.419860
153,270470894,790000,790000,2024-06-26 10:30:30.419860
154,270472442,1590000,1590000,2024-06-26 10:30:30.419860
155,102507839,2989000,2989000,2024-06-26 10:30:30.419860
156,270473244,1090000,1090000,2024-06-26 10:30:30.419860
157,216476472,1790000,1790000,2024-06-26 10:30:30.419860
158,216475428,1390000,1390000,2024-06-26 10:30:30.419860
159,217733148,2025000,2025000,2024-06-26 10:30:30.419860
160,270473211,1390000,1390000,2024-06-26 10:30:30.419860
161,216476481,2490000,2490000,2024-06-26 10:30:30.419860
162,216475813,1690000,1690000,2024-06-26 10:30:30.419860
163,206307879,1516000,1516000,2024-06-26 10:30:30.419860
164,271452666,1250000,1250000,2024-06-26 10:30:30.419860
165,273936362,1890000,1890000,2024-06-26 10:30:30.419860
166,206308253,1622000,1622000,2024-06-26 10:30:30.419860
167,216475525,1590000,1590000,2024-06-26 10:30:30.419860
168,272981897,990000,990000,2024-06-26 10:30:30.419860
169,271452782,1250000,1250000,2024-06-26 10:30:30.419860
170,216475993,1450000,0,2024-06-26 10:30:30.419860
171,252103804,2850000,2850000,2024-06-26 10:30:30.419860
172,274829635,2850000,2850000,2024-06-26 10:30:30.419860
173,174369385,1850000,1850000,2024-06-26 10:30:30.419860
174,273002214,2500000,2500000,2024-06-26 10:30:30.419860
175,196950771,1747000,1747000,2024-06-26 10:30:30.419860
176,203802104,2030000,2030000,2024-06-26 10:30:30.419860
177,58604881,3010000,3010000,2024-06-26 10:30:30.419860
