id,sku,name,url_key,url_path,brand_name,price,list_price,discount,discount_rate,rating_average,review_count,thumbnail_url,productset_id,seller_product_id,bundle_deal,quantity_sold,original_price,shippable,availability,primary_category_path,product_reco_score,seller_id
170165701,8.50E+12,Điện thoại bàn Ktel 645 hàng chính hãng,dien-thoai-ban-ktel-645-hang-chinh-hang-p170165701,dien-thoai-ban-ktel-645-hang-chinh-hang-p170165701.html?spid=170165703,KTEL,398000,0,0,0,5,11,https://salt.tikicdn.com/cache/280x280/ts/product/ee/92/92/def752a331e3d6c937308018f66aef33.jpg,2651,170165703,FALSE,"{'text': 'Đã bán 56', 'value': 56}",398000,TRUE,1,1/2/1789/8061,0,113592
150724369,1.18E+12,"Máy tính bảng Fire HD10 2021 - 11th - (All New Fire HD10 - 2021) - Ram 3/4GB, bộ nhớ 32GB, màn hình 1080 FullHD",may-tinh-bang-fire-hd10-2021-11th-all-new-fire-hd10-2021-ram-3gb-bo-nho-32gb-man-hinh-1080-fullhd-p150724369,may-tinh-bang-fire-hd10-2021-11th-all-new-fire-hd10-2021-ram-3gb-bo-nho-32gb-man-hinh-1080-fullhd-p150724369.html?spid=150724377,OEM,3500000,0,0,0,4.8,18,https://salt.tikicdn.com/cache/280x280/ts/product/1c/4a/8d/e6dd24e3fc839766552fb4180bcb07c4.jpg,2645,150724377,FALSE,"{'text': 'Đã bán 61', 'value': 61}",3500000,TRUE,1,1/2/1789/1794,0,106499
172329599,5.16E+12,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p172329599,dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p172329599.html?spid=172331261,Xiaomi,1750000,0,449000,20,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/bd/2e/b8/6006994eca7ae21a0d38de2c315f77b1.jpg,2647,172331261,FALSE,"{'text': 'Đã bán 26', 'value': 26}",2199000,TRUE,1,1/2/1789/1795,0,179232
168526284,3.98E+12,Điện thoại Nokia 105 4G - Hàng chính hãng,dien-thoai-nokia-105-4g-hang-chinh-hang-p168526284,dien-thoai-nokia-105-4g-hang-chinh-hang-p168526284.html?spid=168526306,Nokia,675000,0,94000,12,3.6,7,https://salt.tikicdn.com/cache/280x280/ts/product/bf/73/8d/d91f8ae382852451905133bd07683642.jpg,2649,168526306,FALSE,"{'text': 'Đã bán 20', 'value': 20}",769000,TRUE,1,1/2/1789/1796,0,179232
164318603,9.08E+12,Điện thoại bàn Panasonic KX-TGF310 hàng chính hãng,dien-thoai-ban-panasonic-kx-tgf310-hang-chinh-hang-p164318603,dien-thoai-ban-panasonic-kx-tgf310-hang-chinh-hang-p164318603.html?spid=164318604,Panasonic,2390000,0,0,0,5,6,https://salt.tikicdn.com/cache/280x280/ts/product/dc/72/f9/bbe51405ebc1681123970efd01f32163.jpg,2651,164318604,FALSE,"{'text': 'Đã bán 34', 'value': 34}",2390000,TRUE,1,1/2/1789/8061,0,113592
184578632,7.03E+12,Điện thoại Itel it9010 4G - Hàng chính hãng,dien-thoai-itel-it9010-4g-hang-chinh-hang-p184578632,dien-thoai-itel-it9010-4g-hang-chinh-hang-p184578632.html?spid=273684390,Itel,399000,0,0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/98/de/7a/ab7fd64852ee97c026915904d1a3da7c.jpg,2649,273684390,FALSE,"{'text': 'Đã bán 2', 'value': 2}",399000,TRUE,1,1/2/1789/1796,0,734
42333095,1.06E+12,"Điện thoại cố định không dây cho người già, màn hình hiển thị đầu số - Hàng chính hãng",dien-thoai-co-dinh-khong-day-cho-nguoi-gia-man-hinh-hien-thi-dau-so-hang-chinh-hang-p42333095,dien-thoai-co-dinh-khong-day-cho-nguoi-gia-man-hinh-hien-thi-dau-so-hang-chinh-hang-p42333095.html?spid=43808820,Huawei,490000,0,0,0,3.7,3,https://salt.tikicdn.com/cache/280x280/ts/product/76/d8/38/696f093021940f0ffe332f2fb05e0971.jpg,2651,43808820,FALSE,"{'text': 'Đã bán 13', 'value': 13}",490000,TRUE,1,1/2/1789/8061,0,54082
181264344,3.29E+12,"Điện thoại oukitel  k15 pro (chống sốc,pin khủng,pin 10.000mAh ,Ram 8Gb,Rom 128Gb) – hàng chính hãng",dien-thoai-oukitel-k15-pro-chong-soc-pin-khung-pin-10-000mah-ram-6gb-rom-128gb-hang-chinh-hang-p181264344,dien-thoai-oukitel-k15-pro-chong-soc-pin-khung-pin-10-000mah-ram-6gb-rom-128gb-hang-chinh-hang-p181264344.html?spid=181264345,Oukitel,4990000,0,0,0,4.2,5,https://salt.tikicdn.com/cache/280x280/ts/product/09/bf/3c/ba244a453297ca42f7c64563c06e6ca8.jpg,2647,181264345,FALSE,"{'text': 'Đã bán 13', 'value': 13}",4990000,TRUE,1,1/2/1789/1795,0,2350
195317118,2.07E+12, Máy tính bảng Oppo Pad Air (4GB/64GB) - Hàng Chính Hãng,may-tinh-bang-oppo-pad-air-hang-chinh-hang-p195317118,may-tinh-bang-oppo-pad-air-hang-chinh-hang-p195317118.html?spid=195317119,OPPO,5490000,0,1509000,22,5,11,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/b0/f2/40/1f55a33cdb9b02a71b89f6dc74b9d5a2.jpg,2645,195317119,FALSE,"{'text': 'Đã bán 55', 'value': 55}",6999000,TRUE,1,1/2/1789/1794,0,1
43924153,7.20E+12,Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,may-doc-sach-kindle-oasis-3-2019-amazon-hang-nhap-khau-p43924153,may-doc-sach-kindle-oasis-3-2019-amazon-hang-nhap-khau-p43924153.html?spid=173476396,Kindle,5790000,0,0,0,4.3,6,https://salt.tikicdn.com/cache/280x280/ts/product/6d/27/39/6253590e72bddd5d13263f3732a606cc.jpg,2653,173476396,FALSE,"{'text': 'Đã bán 35', 'value': 35}",5790000,TRUE,1,1/2/1789/28856,0,258361
181266509,3.05E+12,"Điện thoại Ulefone Armor 14 pro (chống nước,chống va đập,pin khủng,pin 10.000mAh,Ram 8Gb,Rom 128Gb)- hàng chính hãng",dien-thoai-ulefone-armor-14-chong-nuoc-chong-va-dap-pin-khung-pin-10-000mah-ram-4gb-rom-64gb-p181266509,dien-thoai-ulefone-armor-14-chong-nuoc-chong-va-dap-pin-khung-pin-10-000mah-ram-4gb-rom-64gb-p181266509.html?spid=181266510,Ulefone,7990000,0,0,0,5,4,https://salt.tikicdn.com/cache/280x280/ts/product/cc/02/3a/1d54b42c01e58cfcc866585cb61f7ee6.jpg,2647,181266510,FALSE,"{'text': 'Đã bán 6', 'value': 6}",7990000,TRUE,1,1/2/1789/1795,0,2350
