Type_ID,Type_Name,Child_ID,Child_Name,Parent_ID,Parent_Name,Group_ID,Group_Name
9911,"Babysitting, Day Care & Child Care",28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
209,Parenting,28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
9910,Family Relationships,28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
211,Family Health & Relationship,28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
193,Crafts & Hobbies,5309,Reference,320,English Books,8322,Nhà Sách Tiki
11027,"Health, Fitness & Sports",5309,Reference,320,English Books,8322,Nhà Sách Tiki
11026,Home Living,5309,Reference,320,English Books,8322,Nhà Sách Tiki
162,Psychology,5309,Reference,320,English Books,8322,Nhà Sách Tiki
29,Professions,5309,Reference,320,English Books,8322,Nhà Sách Tiki
15714,Atlases - Encyclopedia,5309,Reference,320,English Books,8322,Nhà Sách Tiki
15716,Gardening,5309,Reference,320,English Books,8322,Nhà Sách Tiki
11031,Astronomy & Space Science,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
242,Agriculture & Forestry,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11032,Environment,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11034,Mathematics,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11035,Nature & Ecology,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11028,Human & Biology Science,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
10,Internet - Computers,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
24732,Others,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11021,Anthropology,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11022,Philosophy,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11023,Politics & Current Affairs,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11024,Social Sciences,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11025,Sociology,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
24,History,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
158,Religion and Spirituality,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
273,Europe,32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
276,Vietnam,32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
275,Guidebook series,32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
14924,Discovery & Exploration,32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
161,Diets - Weight Loss - Nutrition,21,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
159,Drinks & Beverages,21,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
163,"Ingredients, Methods & Appliances",21,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
14858,Regional - International,21,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
14860,Baking - Desserts,21,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
14862,Vegetarian & Vegan,21,"Cookbooks, Food & Wine",320,English Books,8322,Nhà Sách Tiki
4933,Du ký,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
7358,Light novel,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
5244,Phê Bình - Lý Luận Văn Học,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
5245,Phóng sự - Ký sự - Bút ký,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
842,Tác phẩm kinh điển,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
446,Thơ,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
843,Tiểu sử - Hồi ký,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
844,Tiểu Thuyết,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
8973,Tranh Truyện,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
10079,Truyện cổ tích - Ngụ ngôn,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
444,Truyện cười,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6750,Truyện dài,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1367,Truyện đam mỹ,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
840,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
639,Truyện kiếm hiệp,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
665,Truyện kinh dị,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
845,Truyện ngắn - Tản văn - Tạp Văn,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1521,Truyện ngôn tình,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
664,Truyện trinh thám,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
26904,Ca dao - Tục ngữ,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
26902,Sách ảnh,839,Sách văn học,316,Sách tiếng Việt,8322,Nhà Sách Tiki
847,Bài học kinh doanh,846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
483,Sách doanh nhân,846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
372,Sách khởi nghiệp,846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
593,Sách kinh tế học,846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
385,Sách kỹ năng làm việc,846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
848,Sách Marketing - Bán hàng ,846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
849,"Sách quản trị, lãnh đạo",846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
4144,Sách quản trị nhân lực,846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
369,"Sách tài chính, kế toán",846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
5246,"Sách tài chính, tiền tệ",846,Sách kinh tế,316,Sách tiếng Việt,8322,Nhà Sách Tiki
852,Đạo đức - Kỹ năng sống,393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
853,Kiến thức - Bách khoa,393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
856,Tô màu - Luyện chữ  ,393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1753,Truyện cổ tích,393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
854,Truyện kể cho bé,393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
6040,Truyện tranh Ehon,393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
855,Truyện tranh thiếu nhi,393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
1754,Văn học thiếu nhi,393,Sách thiếu nhi ,316,Sách tiếng Việt,8322,Nhà Sách Tiki
871,Sách tư duy - Kỹ năng sống,870,Sách kỹ năng sống,316,Sách tiếng Việt,8322,Nhà Sách Tiki
872,Sách nghệ thuật sống đẹp,870,Sách kỹ năng sống,316,Sách tiếng Việt,8322,Nhà Sách Tiki
