CategoryID,MasterCategoryID,Name
23056.0,23054,Bộ đồ thờ
23058.0,23054,"Lư trầm, bát hương, bát nhang"
23072.0,23054,Bàn thờ
23078.0,23054,"Hương, nhang"
23082.0,23054,Phụ kiện thờ cúng
23062.0,23054,Đèn thờ
23080.0,23054,Kỷ chén thờ
23070.0,23054,Mâm đồng/Mâm ngũ quả
67951.0,23054,Ống cắm hương/nhang
67952.0,23054,Vật dụng trang trí
23046.0,53050,Bảo vệ nhà cửa
23004.0,53050,"Dụng cụ diệt chuột, côn trùng"
2363.0,53050,"Giá, móc, cây treo"
23012.0,53050,Pin và dụng cụ sạc pin
20492.0,53050,Thiết bị điều khiển thông minh
67956.0,53050,Miếng dán đa năng
9271.0,1795,OPPO
,1794,
,28856,
,1796,
,8061,
2552.0,2551,Tã dán
10414.0,2551,Miếng lót sơ sinh
2553.0,2551,Tã quần
10415.0,2551,Tã giấy
2554.0,2551,Tã vải
10417.0,2551,Tã bỉm dành cho người lớn
2555.0,2551,Khăn giấy ướt cho bé
2600.0,8339,Sữa bột cho bé
10419.0,8339,Sữa công thức pha sẵn cho bé
2606.0,8339,Bột ăn dặm
10423.0,8339,Vitamins
8340.0,8339,Thực phẩm khác
10424.0,8339,Nước trái cây cho bé
10427.0,8339,Trà và thức uống cho bé
10447.0,8339,Bánh ăn dặm
6570.0,8339,Bánh ăn dặm
10448.0,8339,Bánh quy
6571.0,8339,Thực phẩm chế biến sẵn cho bé
10425.0,8339,Dầu ăn cho bé
6572.0,8339,Dầu ăn cho bé
2609.0,8339,Trà và Thức uống cho bé
68449.0,8339,Các sản phẩm dinh dưỡng cho bé khác
68450.0,8339,Gia vị cho bé
68454.0,8339,"Mì, nui ăn dặm"
,6568,
68455.0,10416,Ngũ cốc cho mẹ bầu
68456.0,10416,Sữa bột cho mẹ bầu
68457.0,10416,Sữa nước cho mẹ bầu
68458.0,10416,Thực phẩm lợi sữa
68459.0,10416,Vitamins và thực phẩm chức năng cho mẹ bầu
68460.0,10418,Sữa bột chức năng cho người lớn
68461.0,10418,Sữa nước chức năng cho người lớn
68462.0,10418,Thực phẩm chức năng từ thiên nhiên
68463.0,10418,Vitamins và thực phẩm chức năng
2556.0,11601,Đồ dùng ăn uống cho bé
2567.0,11601,Đồ dùng vệ sinh cho bé
2585.0,11601,Đồ dùng phòng ngủ cho bé
2584.0,11601,Đồ dùng bảo vệ bé
2576.0,11601,Dụng cụ chăm sóc sức khỏe
2593.0,11601,Đồ dùng đi chơi
68492.0,11601,Combo đi sinh và gói quà tặng
1948.0,5250,"Lắp ghép, Xếp hình"
8469.0,5250,Đồ chơi điều khiển
1938.0,5250,"Búp bê, Thú bông"
2848.0,5250,Đồ chơi gỗ
4493.0,5250,Đồ chơi mô hình
4506.0,5250,Đồ chơi giáo dục
10523.0,5250,Đồ chơi thủ công
4604.0,5250,Đồ chơi nhạc cụ
4594.0,5250,Đồ chơi vận động
4505.0,5250,Boardgame
4500.0,5250,"Bột nặn, Cát nặn"
10445.0,5250,Cờ
4504.0,5250,Lều thảm
4601.0,5250,Đồ chơi sơ sinh
10536.0,5250,Đồ chơi ảo thuật
10537.0,5250,Trò chơi dân gian
10538.0,5250,Trò chơi trí tuệ
10539.0,5250,Video games
68470.0,5250,Đồ chơi khác
68480.0,5250,"Đồ chơi sở thích, sưu tầm và trưng bày"
68629.0,5164,"Chậu vệ sinh, ghế ngồi vệ sinh và nắp đậy"
68630.0,5164,Đồ dùng vệ sinh cho người già
68631.0,5164,Dụng cụ hỗ trợ trong nhà tắm cho người già
68632.0,5164,Gậy chống
6580.0,2640,"Máy hút sữa, Túi trữ sữa"
10556.0,2640,Đai đỡ bụng bầu
2654.0,2640,"Đai nịt bụng, Quần tạo dáng sau sinh"
2656.0,2640,"Dung dịch tắm gội, Chăm sóc da"
10559.0,2640,Phương pháp dân gian
6581.0,2640,Phụ kiện cho mẹ
10571.0,10570,Que thử thai
1804.0,8215,Tai Nghe Có Dây
1811.0,8215,Tai Nghe Bluetooth
1805.0,8215,Loa Nghe Nhạc
28642.0,8215,Micro
20170.0,8215,DAC và Amplifier Di Động
28656.0,8215,Máy Thu và Máy Phát Âm Thanh
30374.0,8215,Thiết Bị Âm Thanh
28858.0,8215,Thiết bị phát Streaming
7078.0,8215,Máy radio cassette
7079.0,8215,"Receivers, Amplifier, Mixer"
26652.0,8215,Micro Karaoke - sân khấu
28872.0,8215,Bộ giải mã âm thanh DAC
8068.0,8215,Phụ kiện âm thanh
7077.0,8215,"Đầu CD, DVD, karaoke, Blu-ray"
4966.0,8215,Dàn âm thanh 
7075.0,8215,Loa
12676.0,2667,Đĩa Game
7273.0,2667,Ghế Gaming
8251.0,2667,Máy Chơi Game - Console
6742.0,2667,Phụ Kiện Gaming
9013.0,2667,Tay Bấm Game - Thiết Bị Điều Khiển
8040.0,8039,Mắt Kính Thông Minh
8042.0,8039,Thiết Bị Thực Tế Ảo VR
2657.0,8039,Đồng Hồ Thông Minh
8043.0,8039,Vòng Đeo Thông Minh - Vòng Theo Dõi Vận Động
28420.0,8039,Phụ Kiện Thiết Bị Đeo Thông Minh
28436.0,28432,Thiết Bị Số - Thiết Bị Thông Minh
20246.0,28432,Mạch Điện Lập Trình và Linh Kiện Điện Tử
28448.0,8214,Thẻ Nhớ và Bộ Nhớ Mở Rộng
10691.0,8214,SIM Điện Thoại
1821.0,8214,Pin Sạc Dự Phòng
1823.0,8214,Dây Sạc - Dây Cáp
3803.0,8214,Adapter - Củ Sạc
20234.0,8214,Linh Kiện Thay Thế
20242.0,8214,Dụng Cụ Sửa Chữa và Vệ Sinh
20220.0,8214,Giá Đỡ - Chân Đế - Móc Dán
20236.0,8214,Túi Bảo Vệ - Túi Chống Nước
20244.0,8214,Hộp Đựng - Túi Đựng Phụ Kiện
20240.0,8214,Vòng Đeo - Đai Đeo
20222.0,8214,Dây Đeo và Phụ Kiện Trang Trí
1824.0,8214,Miếng dán màn hình
1822.0,8214,Bao Da - Ốp Lưng
20238.0,8214,Bàn Phím Rời - Bút Cảm Ứng
