SubCategoryID,CategoryID,Name
68114.0,5309,Jobs & Careers
68115.0,5309,Quotation Reference Books
11030.0,269,Archaeology
11031.0,269,Astronomy & Space Science
242.0,269,Agriculture & Forestry
11032.0,269,Environment
11034.0,269,Mathematics
11035.0,269,Nature & Ecology
11028.0,269,Human & Biology Science
10.0,269,Internet - Computers
24732.0,269,Others
68127.0,269,Chemistry
68128.0,269,Earth Sciences
68129.0,269,Physics
11021.0,632,Anthropology
11022.0,632,Philosophy
11023.0,632,Politics & Current Affairs
11024.0,632,Social Sciences
11025.0,632,Sociology
24.0,632,History
158.0,632,Religion and Spirituality
274.0,32,Americas
271.0,32,Asia
272.0,32,Australia & South Pacific
273.0,32,Europe
276.0,32,Vietnam
275.0,32,Guidebook series
14924.0,32,Discovery & Exploration
51186.0,32,Sách Tiếng Anh Mùa Giáng Sinh (Christmas - Santa Claus)
68130.0,32,Food & Lodging Travel Reference
68131.0,32,Travel Tips
161.0,21,Diets - Weight Loss - Nutrition
159.0,21,Drinks & Beverages
163.0,21,"Ingredients, Methods & Appliances"
14858.0,21,Regional - International
14860.0,21,Baking - Desserts
14862.0,21,Vegetarian & Vegan
68078.0,21,Beverages & Wine
68088.0,21,Cooking Education & Reference
68089.0,21,Main Courses & Side Dishes
68090.0,21,Outdoor Cooking
68091.0,21,Professional Cooking
4933.0,839,Du ký
7358.0,839,Light novel
5244.0,839,Phê Bình - Lý Luận Văn Học
5245.0,839,Phóng sự - Ký sự - Bút ký
842.0,839,Tác phẩm kinh điển
446.0,839,Thơ
843.0,839,Tiểu sử - Hồi ký
844.0,839,Tiểu Thuyết
8973.0,839,Tranh Truyện
10079.0,839,Truyện cổ tích - Ngụ ngôn
444.0,839,Truyện cười
6750.0,839,Truyện dài
1367.0,839,Truyện đam mỹ
840.0,839,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu
639.0,839,Truyện kiếm hiệp
665.0,839,Truyện kinh dị
845.0,839,Truyện ngắn - Tản văn - Tạp Văn
1521.0,839,Truyện ngôn tình
664.0,839,Truyện trinh thám
26904.0,839,Ca Dao - Tục Ngữ - Thành ngữ
26902.0,839,Sách ảnh
847.0,846,Bài học kinh doanh
483.0,846,Sách doanh nhân
372.0,846,Sách khởi nghiệp
593.0,846,Sách kinh tế học
385.0,846,Sách kỹ năng làm việc
848.0,846,Sách Marketing - Bán hàng 
849.0,846,"Sách quản trị, lãnh đạo"
4144.0,846,Sách quản trị nhân lực
67904.0,846,Sách tài chính
852.0,393,Đạo đức - Kỹ năng sống
853.0,393,Kiến thức - Bách khoa
856.0,393,Tô màu - Luyện chữ  
1753.0,393,Truyện cổ tích
854.0,393,Truyện kể cho bé
6040.0,393,Truyện tranh Ehon
855.0,393,Truyện tranh thiếu nhi
1754.0,393,Văn học thiếu nhi
67953.0,393,Sách chuyển động -Tương tác
871.0,870,Sách tư duy - Kỹ năng sống
716.0,870,Sách hướng nghiệp
67929.0,870,Sách kỹ năng mềm
67945.0,870,Sách tâm lý học
6138.0,2527,Sách Thai Giáo
3271.0,2527,Sách Kiến Thức - Kỹ Năng Cho Trẻ
3320.0,2527,Cẩm nang làm cha mẹ
3272.0,2527,Sách Dinh Dưỡng - Sức Khỏe Cho Bé
68020.0,2527,Giáo dục tuổi teen
68021.0,2527,Phương pháp giáo dục trẻ
16660.0,2321,Sách Giáo Khoa Cấp 1
16662.0,2321,Sách Giáo Khoa Cấp 2
16664.0,2321,Sách Giáo Khoa Cấp 3
6991.0,2321,Giáo Trình Đại Học - Cao Đẳng
1856.0,887,Sách Học Tiếng Anh
1524.0,887,Sách Học Tiếng Nhật
1526.0,887,Sách Học Tiếng Hàn
1881.0,887,Sách Học Tiếng Hoa
1527.0,887,Ngoại Ngữ Khác
2248.0,2320,Sách tham khảo cấp I
2249.0,2320,Sách tham khảo cấp II
2250.0,2320,Sách tham khảo cấp III
7971.0,2320,Sách Luyện Thi Đại Học - Cao Đẳng
9997.0,2320,Thẻ luyện thi
18372.0,2320,Sách chuyên đề
898.0,897,Từ Điển Tiếng Anh
900.0,897,Từ Điển Tiếng Trung
899.0,897,Từ Điển Tiếng Hàn
901.0,897,Từ Điển Tiếng Nhật
902.0,897,Từ Điển Tiếng Pháp
903.0,897,Từ Điển Tiếng Việt
904.0,897,Từ Điển Ngôn Ngữ Khác
9733.0,873,Kiến Thức Bách Khoa
886.0,873,Lĩnh vực khác
7671.0,873,Sách Chiêm Tinh - Horoscope
877.0,873,Sách giáo dục
867.0,873,Sách Phong Thủy - Kinh Dịch
9120.0,873,Triết Học
67882.0,879,Sách khoa học
67883.0,879,Sách kỹ thuật
9724.0,880,Lịch Sử Việt Nam
9725.0,880,Lịch Sử Thế Giới
9727.0,881,Âm Nhạc - Điện Ảnh
9728.0,881,Mỹ Thuật - Kiến Trúc
4142.0,881,Sách Tô Màu Dành Cho Người Lớn
,1084,
67978.0,861,Công Giáo
67979.0,861,Phật giáo
67980.0,861,Tôn Giáo - Tâm Linh Khác
858.0,857,Sách Danh Nhân
859.0,857,Sách Địa Danh - Du Lịch
6992.0,857,Sách Phong Tục - Tập Quán
6993.0,875,Lý Luận Chính Trị
883.0,875,Luật - Văn Bản Luật
,882,
9721.0,876,Tin Học Văn Phòng
9723.0,876,Lập Trình
9722.0,876,Thiết Kế - Đồ Họa
68001.0,885,Sách Y Học Cổ Truyền
68002.0,885,Sách Y Học Hiện Đại
68003.0,885,Sách Y Học Khác
,1468,
