ProductID,BrandID,SellerID,SubCategoryID,Name,URL,ImageURL,CreatedDate,QuantitySold
252680559,17826,27572,28930,Màn hình đồ họa Asus ProArt PA279CRV 27 Inch (4K UHD/IPS/60Hz/5ms/99% DCI-P3 99% Adobe RGB) - Hàng chính hãng,https://tiki.vn/product-p252680559.html?spid=252680560,https://salt.tikicdn.com/cache/280x280/ts/product/d1/0a/0b/7bff7a654d484e427af8e713f8074f95.png,389,
72082905,17826,45223,4293,Hệ Thống MESH WI-FI 6 ASUS XT8 (W-1-PK) ZenWiFi Chuẩn AX6600 3 Băng Tần- Hàng Chính Hãng,https://tiki.vn/product-p72082905.html?spid=72082906,https://salt.tikicdn.com/cache/280x280/ts/product/c7/f4/80/98243bd5de1f44440b51f3341018a842.png,1290,2.0
69904929,17826,45223,4293,Router Wifi ASUS RT-AX86U Hai Băng Tần Chuẩn AX5700 (Chuyên Cho Game Di Động)- Hàng Chính Hãng,https://tiki.vn/product-p69904929.html?spid=69904930,https://salt.tikicdn.com/cache/280x280/ts/product/2c/47/a3/e405c9bba871f55797123b679708853b.jpg,1311,14.0
169039064,17826,12395,4293,Router Wifi 6 Asus RT-AX1800HP MU-MIMO AiMesh AX1800Mbps (Xuyên tường) - Hàng Chính Hãng,https://tiki.vn/product-p169039064.html?spid=248686714,https://salt.tikicdn.com/cache/280x280/ts/product/31/e0/cc/4dbdce01327cfa8aa4ef9f1688fae89f.jpg,796,2.0
125893668,17826,45223,4293,Gaming Router Wifi Băng Tần Kép ASUS RT-AX53U AX1800 MU-MIMO AiProtection- Hàng Chính Hãng,https://tiki.vn/product-p125893668.html?spid=129424022,https://salt.tikicdn.com/cache/280x280/ts/product/b4/7c/e0/174144251a9dafbf4dfb4e7c877da557.jpg,960,11.0
129937282,17826,45223,4293,Hệ Thống MESH WI-FI 6 ASUS XT8 (W-2-PK) ZenWiFi Chuẩn AX6600 3 Băng Tần- Hàng Chính Hãng,https://tiki.vn/product-p129937282.html?spid=67040641,https://salt.tikicdn.com/cache/280x280/ts/product/7c/3d/2a/f3e320799564f31a67ba583d54d35967.jpg,945,22.0
44984825,17826,12395,4293,Router Wifi Asus RT-AC1500UHP Băng Tần Kép MU-MIMO - Hàng Chính Hãng,https://tiki.vn/product-p44984825.html?spid=48732533,https://salt.tikicdn.com/cache/280x280/ts/product/78/33/d4/47673fd784bbbf8b4bed680423861ac0.png,1601,19.0
274461881,17826,27572,4293,Bộ định tuyến mở rộng ASUS RT-AX52 (AX1800) Dual Band WIFI 6 - Hàng Chính Hãng,https://tiki.vn/product-p274461881.html?spid=274461882,https://salt.tikicdn.com/cache/280x280/ts/product/6e/bc/b1/8eec42388042edbe68cf69feb16578f0.png,63,
252174854,17826,45223,4293,Wireless Routers Tri-band WiFi 6 ASUS ROG Rapture GT-AX11000 PRO gaming router 2.5G port - Hàng Chính Hãng,https://tiki.vn/product-p252174854.html?spid=252174855,https://salt.tikicdn.com/cache/280x280/ts/product/1e/6b/9b/228eecb5179a73c6e5873a53a8a03b89.jpg,393,2.0
48984949,17826,12395,4293,Router Wifi Asus RT-AC59U Mobile Gaming Chuẩn AC1500 MU-MIMO Băng Tần Kép USB Stream 4K - Hàng Chính Hãng,https://tiki.vn/product-p48984949.html?spid=270128999,https://salt.tikicdn.com/cache/280x280/ts/product/9e/fa/74/2993afa652551e83af728a0db4cef77e.png,1545,
273356088,17826,45223,4293,Bộ định tuyến Mesh Asus Wifi6 XD4S(B-2 PK) ZenWiFi Mini AX1800 Băng Tần Kép(Router WiFi có thể mở rộng) - Hàng Chính Hãng,https://tiki.vn/product-p273356088.html?spid=273356096,https://salt.tikicdn.com/cache/280x280/ts/product/cb/84/fa/3c769edfbfd7313951f5a49fde3fbe05.jpg,180,
262082497,17826,60386,4293,Bộ phát wifi 6 Asus RT-AX1800HP MU-MIMO AiMesh AX1800Mbps (Xuyên tường) - Hàng Chính Hãng,https://tiki.vn/product-p262082497.html?spid=262913074,https://salt.tikicdn.com/cache/280x280/ts/product/8a/5b/00/6abd20e0381ae77d1f051497419bea6d.jpg,341,
271411861,17826,45223,4293,"Hệ Thống Mesh WIFI6 ASUS Router ROG Rapture GT6 (Chuẩn AX11000 ba băng tần, Router có thể mở rộng) - Hàng Chính Hãng",https://tiki.vn/product-p271411861.html?spid=271411865,https://salt.tikicdn.com/cache/280x280/ts/product/c7/24/86/933a3c0d1dedb44031e662dc7cca23c2.jpg,264,
271416950,17826,45223,4293,Router Wifi6 ASUS TUF-AX6000 Gaming Router Chuẩn AX6000/ 1148+4804 Mbps (Router WiFi có thể mở rộng) - Hàng Chính Hãng,https://tiki.vn/product-p271416950.html?spid=271416951,https://salt.tikicdn.com/cache/280x280/ts/product/4e/39/d4/f02f81958533c0328c9ff857f354bb3a.jpg,264,3.0
77182076,17826,45223,4293,Hệ thống MESH WI-FI 6 ASUS XD4 (B-2-PK) Mini ZenWiFi AX1800 Băng Tần Kép - Hàng Chính Hãng,https://tiki.vn/product-p77182076.html?spid=77182077,https://salt.tikicdn.com/cache/280x280/ts/product/12/51/0a/7a12a17017e4e683bc5d5fb0875bbd5c.png,1177,11.0
263389345,17826,45223,4293,Bộ định tuyến chơi game WiFi 6 băng tần kép TUF Gaming AX4200 (router WiFi có thể mở rộng) - Hàng Chính Hãng,https://tiki.vn/product-p263389345.html?spid=263389348,https://salt.tikicdn.com/cache/280x280/ts/product/00/99/f5/485c913e4c999c7d4f303c846c85ce50.png,330,5.0
