GeneralFeedbackID,OneStar,TwoStar,ThreeStar,FourStar,FiveStar,ReviewCount,LastUpdated
19792205,0,0,0,0,1,1,2024-05-15 21:52:56.806538
19179222,0,0,0,0,5,5,2024-05-15 21:52:56.806538
19591230,0,0,0,0,5,5,2024-05-15 21:52:56.806538
19370074,0,0,0,0,5,5,2024-05-15 21:52:56.806538
19097557,0,0,0,0,5,5,2024-05-15 21:52:56.806538
19063111,0,0,0,0,5,5,2024-05-15 21:52:56.806538
18984424,0,0,0,0,1,1,2024-05-15 21:52:56.806538
7997021,0,0,0,0,1,1,2024-05-15 21:52:56.806538
15988315,0,0,0,1,7,8,2024-05-15 21:52:56.806538
17687510,0,0,0,1,7,8,2024-05-15 21:52:56.806538
17651506,0,0,0,1,7,8,2024-05-15 21:52:56.806538
17637442,0,0,0,1,7,8,2024-05-15 21:52:56.806538
15042669,0,0,0,1,7,8,2024-05-15 21:52:56.806538
15934240,0,0,0,1,7,8,2024-05-15 21:52:56.806538
15143644,0,0,0,1,7,8,2024-05-15 21:52:56.806538
14290381,0,0,0,1,7,8,2024-05-15 21:52:56.806538
14297497,0,0,0,2,19,21,2024-05-15 21:52:56.806538
15960268,0,0,0,2,19,21,2024-05-15 21:52:56.806538
15369414,0,0,0,2,19,21,2024-05-15 21:52:56.806538
14961122,0,0,0,2,19,21,2024-05-15 21:52:56.806538
17805689,0,0,0,2,19,21,2024-05-15 21:52:56.806538
15912960,0,0,0,2,19,21,2024-05-15 21:52:56.806538
17825369,0,0,0,2,19,21,2024-05-15 21:52:56.806538
17309270,0,0,0,2,19,21,2024-05-15 21:52:56.806538
16933124,0,0,0,2,19,21,2024-05-15 21:52:56.806538
16728550,0,0,0,2,19,21,2024-05-15 21:52:56.806538
14235954,0,0,0,2,19,21,2024-05-15 21:52:56.806538
16101372,0,0,0,2,19,21,2024-05-15 21:52:56.806538
16041599,0,0,0,2,19,21,2024-05-15 21:52:56.806538
15701404,0,0,0,2,19,21,2024-05-15 21:52:56.806538
15165354,0,0,0,2,19,21,2024-05-15 21:52:56.806538
14792191,0,0,0,2,19,21,2024-05-15 21:52:56.806538
14777894,0,0,0,2,19,21,2024-05-15 21:52:56.806538
13706009,0,0,0,2,19,21,2024-05-15 21:52:56.806538
14677286,0,0,0,2,19,21,2024-05-15 21:52:56.806538
14024357,0,0,0,2,19,21,2024-05-15 21:52:56.806538
13856776,0,0,0,2,19,21,2024-05-15 21:52:56.806538
19684714,0,0,0,1,1,2,2024-05-15 21:52:56.806538
19779903,0,0,0,1,1,2,2024-05-15 21:52:56.806538
19603866,0,0,0,1,0,1,2024-05-15 21:52:56.806538
15283941,2,3,6,11,146,168,2024-05-15 21:52:56.806538
13045991,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12851085,2,3,6,11,146,168,2024-05-15 21:52:56.806538
18742451,2,3,6,11,146,168,2024-05-15 21:52:56.806538
15495723,2,3,6,11,146,168,2024-05-15 21:52:56.806538
19303056,2,3,6,11,146,168,2024-05-15 21:52:56.806538
17551150,2,3,6,11,146,168,2024-05-15 21:52:56.806538
19254758,2,3,6,11,146,168,2024-05-15 21:52:56.806538
8845185,2,3,6,11,146,168,2024-05-15 21:52:56.806538
14519093,2,3,6,11,146,168,2024-05-15 21:52:56.806538
19763706,2,3,6,11,146,168,2024-05-15 21:52:56.806538
4830405,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12698951,2,3,6,11,146,168,2024-05-15 21:52:56.806538
7483964,2,3,6,11,146,168,2024-05-15 21:52:56.806538
6825382,2,3,6,11,146,168,2024-05-15 21:52:56.806538
17947307,2,3,6,11,146,168,2024-05-15 21:52:56.806538
5303927,2,3,6,11,146,168,2024-05-15 21:52:56.806538
11774734,2,3,6,11,146,168,2024-05-15 21:52:56.806538
4799230,2,3,6,11,146,168,2024-05-15 21:52:56.806538
14077149,2,3,6,11,146,168,2024-05-15 21:52:56.806538
17848313,2,3,6,11,146,168,2024-05-15 21:52:56.806538
6723786,2,3,6,11,146,168,2024-05-15 21:52:56.806538
5098014,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12787183,2,3,6,11,146,168,2024-05-15 21:52:56.806538
9255320,2,3,6,11,146,168,2024-05-15 21:52:56.806538
7047232,2,3,6,11,146,168,2024-05-15 21:52:56.806538
14087057,2,3,6,11,146,168,2024-05-15 21:52:56.806538
16503792,2,3,6,11,146,168,2024-05-15 21:52:56.806538
18007964,2,3,6,11,146,168,2024-05-15 21:52:56.806538
19023262,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12407521,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12005454,2,3,6,11,146,168,2024-05-15 21:52:56.806538
18877977,2,3,6,11,146,168,2024-05-15 21:52:56.806538
15478290,2,3,6,11,146,168,2024-05-15 21:52:56.806538
13271585,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12635814,2,3,6,11,146,168,2024-05-15 21:52:56.806538
18559911,2,3,6,11,146,168,2024-05-15 21:52:56.806538
15449704,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12869097,2,3,6,11,146,168,2024-05-15 21:52:56.806538
15491766,2,3,6,11,146,168,2024-05-15 21:52:56.806538
18179072,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12266145,2,3,6,11,146,168,2024-05-15 21:52:56.806538
13499811,2,3,6,11,146,168,2024-05-15 21:52:56.806538
18031354,2,3,6,11,146,168,2024-05-15 21:52:56.806538
5273670,2,3,6,11,146,168,2024-05-15 21:52:56.806538
15384608,2,3,6,11,146,168,2024-05-15 21:52:56.806538
14086459,2,3,6,11,146,168,2024-05-15 21:52:56.806538
15500001,2,3,6,11,146,168,2024-05-15 21:52:56.806538
14723576,2,3,6,11,146,168,2024-05-15 21:52:56.806538
15575953,2,3,6,11,146,168,2024-05-15 21:52:56.806538
14844259,2,3,6,11,146,168,2024-05-15 21:52:56.806538
13831774,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12733887,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12166798,2,3,6,11,146,168,2024-05-15 21:52:56.806538
17062494,2,3,6,11,146,168,2024-05-15 21:52:56.806538
13520475,2,3,6,11,146,168,2024-05-15 21:52:56.806538
4658300,2,3,6,11,146,168,2024-05-15 21:52:56.806538
15703909,2,3,6,11,146,168,2024-05-15 21:52:56.806538
13396303,2,3,6,11,146,168,2024-05-15 21:52:56.806538
13160560,2,3,6,11,146,168,2024-05-15 21:52:56.806538
12733398,2,3,6,11,146,168,2024-05-15 21:52:56.806538
6554126,2,3,6,11,146,168,2024-05-15 21:52:56.806538
11942256,2,3,6,11,146,168,2024-05-15 21:52:56.806538
