SubCategoryID,ProductID,BrandName
1795,184036446,Apple
1795,184059211,Apple
1795,57809866,Xiaomi
1795,120295859,Nokia
1795,123345348,Apple
1795,121744434,Xiaomi
1795,189466001,Xiaomi
1795,125590981,Nokia
1795,126050455,Nokia
1795,172329599,Xiaomi
1795,29931445,Ulefone
1795,181266509,Ulefone
1795,140184098,Vsmart
1795,192859201,Oukitel
1795,181918564,Oukitel
1795,197966909,Samsung
1795,155833852,Masstel
1795,143359355,Tecno
1795,151463645,Bphone
1795,158895857,Vivo
1795,140144656,Realme
1795,147969070,Itel
1795,196760330,Vivo
1795,181216830,ZTE
1795,140747649,Realme
1795,249955152,Xiaomi
1795,249890023,Xiaomi
1795,192348147,OPPO
1795,213931247,Samsung
1795,247730209,Samsung
1795,244355503,Samsung
1795,273640492,Samsung
1795,245770363,Samsung
1795,262589811,Samsung
1795,273388474,Ulefone
1795,273360836,Ulefone
1795,261965186,Xiaomi
1795,255866251,Samsung
1795,253443894,Samsung
1795,270636882,Samsung
1795,273664463,OPPO
1795,249168949,Samsung
1795,274856742,Xiaomi
1795,274857095,Xiaomi
1795,249178196,Samsung
1795,204671569,OPPO
1795,273366296,Ulefone
1795,274099409,Xiaomi
1795,273016223,Xiaomi
1795,274440344,Xiaomi
1795,273373420,Xiaomi
1795,274840632,Xiaomi
1795,252428990,Tecno
1795,271730109,Ulefone
1795,274116886,Xiaomi
1795,204872160,OPPO
1795,273955111,OPPO
1795,274610468,Samsung
1795,274639765,OPPO
1795,270510406,Vivo
1795,273942001,Xiaomi
1795,274498287,Samsung
1795,274568845,Xiaomi
1795,273897590,Tecno
1795,274544634,Xiaomi
1795,274191773,Tecno
1795,273411988,Xiaomi
1795,274762212,Samsung
1795,273258830,Samsung
1795,197214029,Apple
1795,274506430,Xiaomi
1795,271235147,OPPO
1795,271982547,Oukitel
1795,260406257,Oukitel
1795,190544267,OPPO
1795,191689878,OPPO
1795,273359059,Oukitel
1795,273430216,Ulefone
1795,207268158,Samsung
1795,212040689,Samsung
1795,168320000,Xiaomi
1795,248704404,Samsung
1795,273127929,Xiaomi
1795,270832077,Xiaomi
1795,273373436,Xiaomi
1795,271494404,Tecno
1795,193366048,OnePlus 
1795,273636845,Samsung
1795,251275686,OPPO
1795,262514707,Xiaomi
1795,262516014,Samsung
1795,274542883,Samsung
1795,274059475,Samsung
1795,274316885,Xiaomi
1795,190701486,OPPO
1795,225228869,Samsung
1795,272909668,Vivo
1795,249156531,Realme
1795,251930431,Samsung
1795,65091422,Oukitel
1795,273718967,Samsung
1795,274392442,OPPO
1795,271134741,Samsung
1795,263274580,Samsung
1795,244303202,Samsung
1795,258667842,Xiaomi
1795,273438724,Samsung
1795,273252926,OPPO
1795,270736028,Samsung
1795,270160350,OPPO
1795,274608056,Samsung
1795,272270730,Samsung
1795,273774937,Samsung
1795,230157205,Xiaomi
1795,274617822,Samsung
1795,274498288,Samsung
1795,274166857,Samsung
1795,198858451,Samsung
1795,274639670,Realme
1795,261946899,Samsung
1795,272348047,Samsung
1795,271128271,OPPO
1795,274507025,Realme
1795,212040697,Samsung
1795,263073555,Tecno
1795,274179544,Realme
1795,271966786,Apple
1795,273958512,Xiaomi
1795,273610368,Samsung
1795,273389282,Ulefone
1795,176438864,Xiaomi
1795,274065746,Oukitel
1795,219400421,OPPO
1795,244332381,Samsung
1795,251930414,Xiaomi
1795,225960096,Samsung
1795,250109584,Xiaomi
1795,273185467,Samsung
1795,273378164,Xiaomi
1795,242771940,Samsung
1795,248754839,OPPO
1795,272234493,Samsung
1795,273595363,Oukitel
1795,243165179,OPPO
1795,274564360,Xiaomi
1795,249168300,OPPO
1795,274542808,Samsung
1795,273186911,OPPO
1795,205846229,OPPO
1795,274611998,Xiaomi
1795,216934468,Samsung
1795,273553649,OPPO
1795,272273680,Samsung
1795,273897523,Tecno
1795,198968094,Xiaomi
1795,270164674,OPPO
1795,274037365,POCO
1795,274619667,Samsung
1795,274681250,Samsung
1795,272273169,Samsung
1795,274610514,Samsung
1795,274681248,Samsung
1795,198671718,Samsung
1795,249890677,Xiaomi
1795,197214015,Apple
1795,273438769,Xiaomi
1795,274762125,Samsung
1795,274545326,OPPO
1795,271973414,Apple
1795,230155305,Xiaomi
1795,270975124,OPPO
1795,271046571,Xiaomi
1795,273410030,Samsung
1795,230055130,OPPO
1795,244182370,Samsung
1795,207883258,Oukitel
1795,212329857,Xiaomi
1795,262660017,Samsung
1795,251407092,Samsung
1795,272200109,Samsung
1795,272834546,Xiaomi
1795,196348143,OPPO
1795,251514670,Xiaomi
1795,253443652,Samsung
1795,168317790,Xiaomi
1795,216092766,OPPO
1795,194462682,ZTE
1795,274724268,Samsung
1795,273186334,Samsung
1795,202035122,OEM
1795,242657652,Samsung
1795,263059025,Samsung
1795,248762051,Samsung
1795,273511450,Xiaomi
1795,274393574,Xiaomi
1795,272113804,Vivo
1795,249169833,Samsung
1795,273165324,Xiaomi
1795,250113073,Xiaomi
1795,273367316,Xiaomi
1795,208171115,Oukitel
1795,274638430,Xiaomi
1795,208193365,Samsung
1795,215543460,Samsung
1795,274456687,Samsung
1795,273438458,Samsung
1795,274030201,Tecno
1795,274365104,Xiaomi
1795,274162900,OPPO
1795,274608680,Samsung
1795,203278278,Samsung
1795,272151221,Xiaomi
1795,258373871,Itel
1795,273951550,Samsung
1795,274316036,Samsung
1795,272241346,Samsung
1795,270814388,Tecno
1795,273440662,Xiaomi
1795,203853390,OPPO
1795,273683300,Samsung
1795,271967379,Apple
1795,253443788,Samsung
