SubCategoryID,ProductID,BrandName
1795,184036446,Apple
1795,184059211,Apple
1795,123345348,Apple
1795,197966909,Samsung
1795,213931247,Samsung
1795,247730209,Samsung
1795,244355503,Samsung
1795,273640492,Samsung
1795,245770363,Samsung
1795,262589811,Samsung
1795,255866251,Samsung
1795,253443894,Samsung
1795,270636882,Samsung
1795,249168949,Samsung
1795,249178196,Samsung
1795,274610468,Samsung
1795,274498287,Samsung
1795,274762212,Samsung
1795,273258830,Samsung
1795,197214029,Apple
1795,207268158,Samsung
1795,212040689,Samsung
1795,248704404,Samsung
1795,273636845,Samsung
1795,262516014,Samsung
1795,274542883,Samsung
1795,274059475,Samsung
1795,225228869,Samsung
1795,251930431,Samsung
1795,273718967,Samsung
1795,271134741,Samsung
1795,263274580,Samsung
1795,244303202,Samsung
1795,273438724,Samsung
1795,270736028,Samsung
1795,274608056,Samsung
1795,272270730,Samsung
1795,273774937,Samsung
1795,274617822,Samsung
1795,274498288,Samsung
1795,274166857,Samsung
1795,198858451,Samsung
1795,261946899,Samsung
1795,272348047,Samsung
1795,212040697,Samsung
1795,271966786,Apple
1795,273610368,Samsung
1795,244332381,Samsung
1795,225960096,Samsung
1795,273185467,Samsung
1795,242771940,Samsung
1795,272234493,Samsung
1795,274542808,Samsung
1795,216934468,Samsung
1795,272273680,Samsung
1795,274619667,Samsung
1795,274681250,Samsung
1795,272273169,Samsung
1795,274610514,Samsung
1795,274681248,Samsung
1795,198671718,Samsung
1795,197214015,Apple
1795,274762125,Samsung
1795,271973414,Apple
1795,273410030,Samsung
1795,244182370,Samsung
1795,262660017,Samsung
1795,251407092,Samsung
1795,272200109,Samsung
1795,253443652,Samsung
1795,274724268,Samsung
1795,273186334,Samsung
1795,242657652,Samsung
1795,263059025,Samsung
1795,248762051,Samsung
1795,249169833,Samsung
1795,208193365,Samsung
1795,215543460,Samsung
1795,274456687,Samsung
1795,273438458,Samsung
1795,274608680,Samsung
1795,203278278,Samsung
1795,273951550,Samsung
1795,274316036,Samsung
1795,272241346,Samsung
1795,273683300,Samsung
1795,271967379,Apple
1795,253443788,Samsung
1795,217559440,Samsung
1795,201631518,Samsung
1795,213587929,Samsung
1795,248655651,Samsung
1795,270544863,Samsung
1795,263060294,Samsung
1795,273029857,Samsung
1795,251448280,Samsung
1795,267178005,Samsung
1795,242712931,Samsung
1795,196197701,Samsung
1795,274542983,Samsung
1795,272328188,Samsung
1795,273411607,Samsung
1795,271972435,Apple
1795,273610105,Samsung
1795,274405521,Samsung
1795,219397711,Samsung
1795,273411606,Samsung
1795,273947792,Samsung
1795,272238679,Samsung
1795,197670818,Samsung
1795,272392928,Samsung
1795,204066551,Samsung
1795,242712374,Samsung
1795,249143473,Samsung
1795,248005118,Samsung
1795,245770806,Samsung
1795,247925719,Samsung
1795,261962220,Samsung
1795,214603586,Samsung
1795,272394241,Samsung
1795,215617756,Samsung
1795,248929458,Samsung
1795,273258825,Samsung
1795,274625697,Samsung
1795,274693012,Samsung
1795,274160702,Samsung
1795,274172292,Samsung
1794,183330021,Apple
1794,184248127,Apple
1794,184253251,Apple
1794,271822675,Samsung
1794,160434731,Samsung
1794,121059239,Samsung
1794,274868116,Samsung
1794,274101262,Samsung
1794,274840089,Samsung
1794,274840015,Samsung
1794,274626215,Samsung
1794,164697930,Samsung
1794,188948039,Samsung
1794,186149961,Samsung
1794,217158870,Samsung
1794,274626262,Samsung
1794,274868043,Samsung
1794,274840058,Samsung
1794,175851126,Samsung
1794,274866839,Samsung
1794,205815576,Apple
1794,103168071,Samsung
1794,274164078,Samsung
1794,181699208,Samsung
1794,103168844,Samsung
1794,274840120,Samsung
1794,274625981,Samsung
1794,274625942,Samsung
1794,225936344,Samsung
1794,158742790,Samsung
1794,213858174,Samsung
1794,160556149,Samsung
1794,273872197,Samsung
1794,105830021,Samsung
1794,274186881,Samsung
1794,274101255,Samsung
1794,274839897,Samsung
1794,274839974,Samsung
1794,274904904,Samsung
1794,195177036,Samsung
1794,271822725,Samsung
1794,217158529,Samsung
1794,274663238,Samsung
1794,274840100,Samsung
1794,274164375,Samsung
1794,274626173,Samsung
29010,108924121,Dell
29010,190725476,HP
29010,187188428,HP
29010,186984673,HP
29010,127377025,HP
29010,155530449,HP
29010,151839086,HP
29010,180396187,HP
29010,163871476,HP
29010,180396111,HP
29010,135268243,HP
29010,155831428,Dell
29010,70692002,Dell
29010,189466548,HP
29010,161225920,HP
29010,134947044,Dell
29010,174216794,HP
29010,190725467,Dell
29010,106318753,Dell
29010,192926769,Dell
29010,197751617,Dell
29010,140743794,Dell
29010,196907103,HP
29010,191694005,HP
29010,136940990,HP
29010,169264166,HP
29010,189365717,HP
29010,196161158,Dell
29010,164397018,HP
29010,155530453,HP
29010,186434417,HP
29010,189696941,HP
29010,163871484,HP
29010,186985454,HP
29010,136951412,HP
29010,196911702,HP
29010,196906988,HP
29010,162188204,HP
29010,136975279,HP
29010,136979185,HP
29010,186479817,HP
29010,186479612,HP
29010,196909214,HP
29010,189698164,HP
29010,189466659,HP
29010,155974507,HP
29010,186191702,HP
29010,134496483,HP
29010,197770991,Dell
29010,151676582,HP
29010,189697988,HP
29010,189696865,HP
29010,190725443,HP
29010,136983195,HP
29010,189696649,HP
29010,187196562,HP
29010,189700810,HP
29010,186434665,HP
29010,164960057,Dell
