SubCategoryID,ProductID
1795,184036446
1795,184059211
1795,57809866
1795,120295859
1795,123345348
1795,121744434
1795,189466001
1795,125590981
1795,126050455
1795,172329599
1795,29931445
1795,181266509
1795,140184098
1795,192859201
1795,181918564
1795,197966909
1795,155833852
1795,143359355
1795,151463645
1795,158895857
1795,140144656
1795,147969070
1795,196760330
1795,181216830
1795,140747649
1795,249955152
1795,249890023
1795,192348147
1795,213931247
1795,247730209
1795,244355503
1795,273411988
1795,274440344
1795,273640492
1795,245770363
1795,262589811
1795,273897590
1795,273388474
1795,273360836
1795,261965186
1795,255866251
1795,274762212
1795,253443894
1795,270636882
1795,274191773
1795,273373420
1795,273664463
1795,204872160
1795,252428990
1795,274639765
1795,274840632
1795,274610468
1795,249168949
1795,274856742
1795,274857095
1795,270510406
1795,249178196
1795,273955111
1795,274544634
1795,274116886
1795,204671569
1795,273016223
1795,274568845
1795,273366296
1795,271730109
1795,274506430
1795,274498287
1795,273942001
1795,271235147
1795,273258830
1795,197214029
1795,274099409
1795,271982547
1795,260406257
1795,190544267
1795,191689878
1795,273359059
1795,273430216
1795,207268158
1795,212040689
1795,168320000
1795,230157205
1795,248704404
1795,273127929
1795,270832077
1795,274639670
1795,273438724
1795,273373436
1795,271494404
1795,263073555
1795,193366048
1795,273636845
1795,251275686
1795,261946899
1795,262514707
1795,262516014
1795,274542883
1795,258667842
1795,212040697
1795,274059475
1795,263274580
1795,274316885
1795,190701486
1795,225228869
1795,274608056
1795,274617822
1795,272909668
1795,249156531
1795,274392442
1795,273774937
1795,272270730
1795,271128271
1795,274507025
1795,251930431
1795,272348047
1795,244303202
1795,270736028
1795,274498288
1795,198858451
1795,274179544
1795,273252926
1795,271134741
1795,274166857
1795,273610368
1795,270160350
1795,271966786
1795,273718967
1795,273958512
1795,273389282
1795,176438864
1795,274065746
1795,219400421
1795,244332381
1795,251930414
1795,225960096
1795,250109584
1795,273185467
1795,273438769
1795,274545326
1795,274762125
1795,273378164
1795,263309601
1795,242771940
1795,248754839
1795,273595363
1795,272234493
1795,230155305
1795,198671718
1795,270164674
1795,249168300
1795,274610514
1795,274619667
1795,273553649
1795,274611998
1795,273410030
1795,274542808
1795,273186911
1795,198968094
1795,216934468
1795,205846229
1795,273897523
1795,274681248
1795,197214015
1795,249890677
1795,272273169
1795,274375122
1795,243165179
1795,271973414
1795,272273680
1795,274564360
1795,274037365
1795,270975124
1795,271046571
1795,230055130
1795,212329857
1795,244182370
1795,207883258
1795,251407092
1795,272834546
1795,262660017
1795,272200109
1795,274030201
1795,196348143
1795,273438458
1795,251514670
1795,253443652
1795,168317790
1795,216092766
1795,194462682
1795,242657652
1795,202035122
1795,263059025
1795,274724268
1795,273186334
1795,203278278
1795,274638430
1795,248762051
1795,273511450
1795,273454566
1795,274316036
1795,208171115
1795,274393574
1795,272113804
1795,274608680
1795,249169833
1795,273165324
1795,274162900
1795,250113073
1795,273440662
1795,208193365
1795,270814388
1795,215543460
1795,258373871
1795,273367316
1795,273951550
1795,273683300
1795,271967379
1795,274036896
1795,274456687
1795,274365104
1795,272241346
1795,203853390
1795,253443788
1795,217559440
1795,219392186
1795,201631518
1795,213587929
1795,273359931
1795,263041214
1795,248655651
1795,204802771
1795,263675862
1795,270814412
1795,191764688
1795,270544863
1795,263060294
1795,168779225
1795,252427658
1795,273029857
1795,273610105
1795,251448280
1795,188900310
1795,272056193
1795,267178005
1795,242712931
1795,196197701
1795,274542983
1795,272328188
1795,249153684
1795,263438008
1795,274380639
1795,219397711
1795,215746882
1795,197670818
1795,247829297
1795,273498357
1795,273411606
1795,273958619
1795,272392928
1795,273947792
1795,250111470
1795,270447782
1795,274405521
1795,205750556
1795,271972435
1795,272238679
1795,274095168
1795,273411607
1795,115830124
1795,273650151
1795,191689727
1795,270714226
1795,204066551
1795,271451188
1795,271954384
1795,272850971
1795,176438844
1795,249143473
1795,242712374
1795,264285233
1795,248005118
1795,245770806
1795,165747145
1795,247925719
1795,261962220
1795,198648645
1795,181699053
1795,230203067
1795,274415640
1795,254125720
1795,189658085
1795,274638822
1795,270625677
1795,274160702
1795,214603586
1795,274069052
1795,274625697
1795,215617756
1795,273412211
1795,270260682
1795,192036708
1795,274541336
1795,126682340
1795,272394241
1795,248929458
1795,273258825
1795,274638659
1795,274172292
1795,270814316
1795,273398391
1795,273357326
1795,274693012
1795,273990229
1795,249956458
1794,183330021
1794,184248127
1794,184253251
1794,150724369
1794,173557858
1794,195317118
1794,194498804
1794,176909016
1794,162866839
1794,72310352
1794,72310420
1794,160450655
1794,148696890
1794,271822675
1794,262908601
1794,160434731
1794,274840089
1794,274626215
1794,274840015
1794,121059239
1794,274868116
1794,274101262
1794,164697930
1794,188948039
1794,258787119
1794,274361820
1794,263438199
1794,217158870
1794,186149961
1794,273232944
1794,274626262
1794,274840058
1794,274868043
1794,136364272
1794,273231495
1794,249782771
1794,274560616
1794,271801317
1794,274364026
1794,103168071
1794,206218031
1794,175851126
1794,273407277
1794,273659145
1794,274164078
1794,271364652
1794,274866839
1794,205815576
1794,131028406
1794,181699208
1794,273559020
1794,273366493
1794,274625942
1794,274840120
1794,274625981
1794,103168844
1794,272362704
1794,273348837
1794,271799133
1794,225936344
1794,158742790
1794,213858174
1794,160556149
1794,273653444
1794,273872197
1794,105830021
1794,273684137
1794,274839974
1794,274839897
1794,274186881
1794,274101255
1794,274904904
1794,188030974
1794,271284934
1794,195177036
1794,205897182
1794,271822725
1794,217158529
1794,274663238
1794,274840100
1794,274626173
1794,274164375
1794,217561341
28856,125182567
28856,217706932
28856,201067649
28856,139632023
28856,173387789
28856,270794184
28856,43924153
28856,140940220
28856,74776150
28856,128895957
28856,118486668
28856,72290345
28856,185755283
28856,91281318
28856,148701811
28856,169651533
28856,182850918
28856,177212711
28856,271218081
28856,270707514
28856,242434782
28856,274536294
28856,209927605
28856,25949745
28856,153581522
28856,272222033
28856,252586291
28856,217640502
28856,274638556
28856,271362153
28856,273227290
28856,179547641
28856,247427990
28856,169651528
28856,248766283
28856,209872337
28856,258513251
28856,214756058
28856,273175604
28856,263798932
28856,271530789
28856,217645692
28856,217505504
28856,217505430
28856,221518066
28856,271329051
28856,217548686
28856,262706645
1796,197654695
1796,197652030
1796,197960169
1796,168526284
1796,184578632
1796,181452535
1796,167465972
1796,167466044
