Title,Rating,Image URL
"Artisticases Custom Tort Tortoiseshell Initials Name Case, Personalized Name Case, Designed ‎for iPhone 15 Plus, iPhone 14 Pro Max, iPhone 13 Mini, iPhone 12, 11, X/XS Max, ‎XR, 7/8‎",4.0 out of 5 stars,https://m.media-amazon.com/images/I/6154Cb3zhcL.__AC_SX300_SY300_QL70_ML2_.jpg
"OtterBox iPhone 13 Pro Max & iPhone 12 Pro Max Defender Series Case - HUNTER GREEN, rugged & durable, with port protection, includes holster clip kickstand",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71D708DsaUL.__AC_SX300_SY300_QL70_ML2_.jpg
"ORIbox for iPhone 13 Pro Max/12 Pro Max Case Blue, [10 FT Military Grade Drop Protection], Transparent Heavy Duty Shockproof Anti-Fall Case for iPhone 13/12 Pro Max,6.7 inch,3 in 1, Crystal Blue",4.4 out of 5 stars,https://m.media-amazon.com/images/I/81ZyFdLYuBL.__AC_SX300_SY300_QL70_ML2_.jpg
"Case-Mate iPhone 12 Pro Max Case - Twinkle Ombre Gold With 10ft Drop Protection & Wireless Charging - Luxury Bling Glitter Case for iPhone 12 Pro Max - Anti Scratch, Shock Absorbing Materials",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61MN1IFv+5L._AC_SY300_SX300_.jpg
OtterBox Defender Series Replacement Belt Clip Holster for iPhone 13 PRO MAX & iPhone 12 PRO MAX (ONLY) Black,4.3 out of 5 stars,https://m.media-amazon.com/images/I/510an5jpbIL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox + Pop Symmetry Series Case for iPhone 12 & iPhone 12 PRO (NOT 12 Mini/12 Pro Max) Non-Retail Packaging - White Marble,4.6 out of 5 stars,https://m.media-amazon.com/images/I/810zguuzs5L.__AC_SX300_SY300_QL70_ML2_.jpg
"iPhone 12 Pro Max 128GB 256GB 512GB ROM 6GB RAM Unlocked 5G Smartphone iPhone12 ProMax 6.7"" OLED Face ID NFC Phone 128GB Standard/White",Previous page of related Sponsored Products,https://m.media-amazon.com/images/I/3189OLvQSsL.__AC_SY300_SX300_QL70_ML2_.jpg
"Apple iPhone 11 Pro Max, US Version, 512GB, Midnight Green - Unlocked (Renewed)",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71VIsH1AR5L.__AC_SX300_SY300_QL70_ML2_.jpg
"95% Apple iPhone 12 13 Pro Max 128GB 256GB 512GB ROM 6.7"" Retina XDR OLED RAM 6GB Face ID NFC Unlocked 5G Phones iPhone 12 pro max/Gold / 128G|6GB",Previous page of related Sponsored Products,https://m.media-amazon.com/images/I/31XxgoXBM0L.__AC_SX300_SY300_QL70_ML2_.jpg
"95% Apple iPhone 13 Pro Max 6.7""/ iPhone 13 Pro 6.1"" 5G 128G/256G/512G/1TB ROM Genuine OLED 12MP Face ID Unlocked iPhone 13 Pro Max/Graphite / 128G|6GB",Previous page of related Sponsored Products,https://m.media-amazon.com/images/I/31wU6IjgNnL.__AC_SX300_SY300_QL70_ML2_.jpg
"Echoamo A14 Pro Max Cell Phone, 5G Unlocked Smartphone 6GB+256GB Smartphone Android 13, 6000mAh Battery, 6.82"" FHD+ Display 120Hz 64MP Camera, Dual SIM Octa-Core Phone GPS/Fingerprint/Face ID (Black)",5.0 out of 5 stars,https://m.media-amazon.com/images/I/61w69FoDIJL.__AC_SX300_SY300_QL70_ML2_.jpg
"USB C Cable, INIU (2-Pack 6.6ft) 100W PD 5A QC 4.0 Fast Charging USB C to USB C Cable, Nylon Braided Type C Data USB-C Cable for Samsung Galaxy S20+ S10 Note 10 iPad Pro MacBook Tablets LG Google etc.",4.7 out of 5 stars,https://m.media-amazon.com/images/I/814+BTS-INL._AC_SY300_SX300_.jpg
"JOBY GripTight ONE Micro Stand, Universal Phone Holder, Small Tripod for Smartphone, Foldable and Portable, Watch FIFA World Cup Football, Black",4.3 out of 5 stars,https://m.media-amazon.com/images/I/41NazvG+0nL._AC_SY300_SX300_.jpg
OtterBox + Pop Symmetry Series Case for iPhone 12 & iPhone 12 PRO (NOT 12 Mini/12 Pro Max) Non-Retail Packaging - White Marble,4.6 out of 5 stars,https://m.media-amazon.com/images/I/810zguuzs5L.__AC_SX300_SY300_QL70_ML2_.jpg
