GeneralFeedbackID,Title,Content,Upvote,Rating,CreatedDate,UserID,ProductID,FeedbackDetailID
19708302,Cực kì hài lòng,"Đợt này mua tặng 2 cây trắng đen nhưng quên chụp lại cây trắng. Mọi người xem đỡ cây đen nha. Cũng y chang sản xuất 2***GB mới nguyên seal. Giờ kiếm đỏ mắt ko thấy shop nào bán chính hãng mà 2023 đâu, ngay cả Apple store VN. Mấy đợt trước mua 12 - 13 - 14 Tiki cũng uy tín như vầy. Không lỗi trầy móp méo, màn hình ko đốm.",3,5,1704256818,5178168,184036446.0,1
19708307,Cực kì hài lòng,"Đợt này mua tặng 2 cây trắng (giao từ Hanoi) đen (giao từ Saigon) nhưng quên chụp lại cây trắng. Mọi người xem đỡ cây đen nha. Cũng y chang sản xuất 2***GB mới nguyên seal. Giờ kiếm đỏ mắt ko thấy shop nào bán chính hãng mà 2023 đâu, ngay cả Apple store VN. Mấy đợt trước mua 12 - 13 - 14 Tiki cũng uy tín như vầy. Không lỗi trầy móp méo, màn hình ko đốm.",2,5,1704256916,5178168,184059211.0,2
17356319,Cực kì hài lòng,"5* cho máy còn nguyên seal, hàng chính hãng VN/A, mới 100% như tiki cam kết, nhưng 1* cho thái độ bạn đi giao hàng, mình đặt tikinow, lúc giao bạn này tỏ vẻ rất khó chịu, nói chuyện cọc cằn, bạn hỏi sao địa chỉ mình xa vậy mà đặt chi vậy, nếu là người khác đi giao sẽ hủy đơn, tại bạn sẵn chuyến nên đi giao luôn, mình nói địa chỉ này tikinow hỗ trợ nên mình đặt thôi, trong khi đó mình đặt rất nhiều lần rồi, lần nào các bạn giao cũng vui vẻ, dễ chịu. Đề nghị bên Tiki check lại đơn của mình xem hôm đó ai là người đi giao và làm việc lại với bạn đó, nếu không khắc phục được tình trạng này mình sẽ không mua bên tiki nửa.",184,5,1660043992,945720,123345348.0,3
19694107,Rất không hài lòng,"Mua xài mới có 1 ngày mà đã lỗi, có cuộc gọi tới đổ chuông ko hiển thị, sạc pin thì bị nóng máy, tuộc pin ko phanh, vừa cấm sạc cái hiện lên 5%. Báo trả hàng hoàn tiền thì kêu gửi về tiki kiểm tra, kiểm tra xong báo là đúng lỗi như vậy nhưng phải chờ gửi đi lên hãng kiểm định. Quá rắc rối",1,1,1703434010,15052027,197214029.0,4
18794713,Cực kì hài lòng,"Chất lượng sản phẩm của Shop rất tốt đẹp full box chính hãng nguyên seal rất tốt tuyệt vời, Shop đóng gói rất kỹ đẹp, thời gian giao hàng rất nhanh, em chân thành cảm ơn Shop và Anh Shipper rất nhiều ạ💖",20,5,1676287655,28830179,271966786.0,5
19563486,Cực kì hài lòng,"Mình mua trả góp (chi tiết hình ảnh đính kèm)
Năm sản xuất 2023. Phù hợp với tác vụ thông thường của mình, chỉ tiếc là dòng 12 trở lên mới có mở khoá ngay cả khi đeo khẩu trang (Vật Vờ Studio cũng có chỉ mẹo mở khoá IP11 khi đeo khẩu trang)",3,5,1696170522,28677471,197214015.0,6
18695745,Cực kì hài lòng,"Tuyệt vời

Apple đã chính thức ra mắt bộ 3 siêu phẩm iPhone 11/Pro/Pro Max, trong đó iPhone 11 là phiên bản tiêu chuẩn dành cho số đông có mức giá rất dễ chịu. Chưa hết, đánh giá iPhone 11 cho thấy máy có thể hạ gục mọi đối thủ Android. 
1. Đánh giá nhanh thiết kế iPhone 11

Thiết kế iPhone 11 không khác nhiều so với các thông tin được rò rỉ trước đó. Và điều khiến tôi thất vọng nhất trong thiết kế là mặt trước. Apple vẫn trung thành với màn hình “tai thỏ”. Trong khi đó các dòng điện thoại cao cấp Android đã sử dụng màn hình notch, màn hình không viền vô cùng ấn tượng. Ngoài ra, một điểm trừ nữa trong thiết kế iPhone 11 là các cạnh viền vẫn còn rất dày tương tự iPhone XR",3,5,1674967848,688542,271973414.0,7
14487454,Cực kì hài lòng,Hiện tôi đang bị màn hình có kẻ sọc và chuyển sang màu tối đen khi đi biển. Tôi không biết xử lý như thế nào? Trước đây dùng IPhone 8 tôi cũng mang xuống biển quay Clip có bọc túi chống nước không gặp tình trạng tương tự.,150,5,1642298876,10604241,271967379.0,8
18244942,Cực kì hài lòng,"Tiki giao hàng sp là ip rất tốt. Chế độ bảo mật cao đối với đơn hàng có giá trị, là khách hàng mình luôn yên tâm về hàng chuẩn chính hãng va không lo gặp hành giả như tiki đã cam kết.
Hàng giao nguyên đai, nguyên kiện và bảo mật cao khi đến tay KH.",1,5,1668857673,6954401,271972435.0,9
14444430,Hài lòng,"Mình mua sp trên tiki giá trị cao khá nhiều, nhưng đợt tết nghe mấy đv vận chuyển tráo hàng nên mình hơi sợ. Và để đảm bảo mình đến bưu cục để lấy luôn. Máy nhìn chung ok, apple đúng biết cắt cổ ko tặng cục sạc phải mua thêm. Đt mượn do đổi từ samsung qua thử nên dùng hơi chưa quen. Nhìn chung sp ổn giá tốt hơn shop ngoài thị trường, nhưng hơi lo về khâu vận chuyện do đối tác lưu kho lâu. Mn nên mua tiki now để được ship k nên mua tỉnh lẻ quá nhiều rủi ro.",10,4,1642128504,1063872,183330021.0,10
19816838,Cực kì hài lòng,"Đóng gói cẩn thận,giao hàng nhanh, bạn shipper dể thương. Máy mới còn nguyên tem. Đây là lần đầu tiên mình mua 1 món giá trị thế này trên tiki. Sẻ tiếp tục trung thành với tiki",0,5,1711130557,10752605,184253251.0,11
7945210,Rất không hài lòng,"Cực kì không hài lòng về cách đóng hàng của Tiki với sản phẩm có giá trị lớn như iPhone. Đóng hàng cẩu thả, vận chuyển móp méo, biến dạng cạnh hộp iPhone. Nhân viên giao hàng cũng không đối soát khi giao đối với sản phẩm có giá trị lớn. Cực kì không hài lòng!!!",33,1,1614135819,5807703,205815576.0,12
18012846,Cực kì hài lòng,"Mua từ tháng 12/2020 đến nay là tháng 10/2022 là gần 2 năm mình quay lại viết đánh giá 5 sao thì các bạn đủ hiểu máy sử dụng ok đến mức nào, 2 năm vẫn lướt mượt mà, chưa gặp lỗi gì, pin hiện tại 82% nhưng vẫn sử dụng trọn 1 ngày đến tối mới phải sạc. Máy mát không nóng trừ lúc chơi game nặng.",3,5,1666342846,1607977,124742926.0,13
13098615,Hài lòng,"Máy còn nguyên hộp, chính hãng VNA .
Bảo hành đúng ngày kích hoạt máy
Tuy nhiên thời gian luân chuyển đơn hàng quá lâu ( mất hơn 1 tháng ). Trong khi bàn giao lại cho bên giao hàng chỉ mất 3 ngày thì đã nhận được máy . 
Máy giá trị cao mà chỉ quấn 1 lớp giấy bên trong ảnh hưởng hộp máy đã bị móp méo 1 góc .",4,4,1636469760,12647274,273556624.0,14
