category_id,username,brand_name,shop_id,logo,logo_pc,shop_collection_id,ctime,brand_label
11036793,protec_helmet,Protec Helmet,282227194,46bbaaadecfb2f7904096fa09f77a241,9503d217827f97f96324e322641f90d7,0,1620981896,0
11036793,rheinol.vn,Rheinol Việt Nam,479766557,f37d6f3cbfd4673d8ab7dec5ec14f1dc,d121ebf9a7983ffc7404f3cb53d3fcce,0,1638166922,0
11036793,rokivntrading_2020,Roki,238568863,3854fb7a20842820845d525c2f3e204f,65e88ce92b50ffeaa7661cd527dfa0e6,0,1620981896,0
11036793,ronahelmet,Rona Helmet Official Shop,191339864,vn-50009109-c35052cb11ed31dbe3b0c68b78ea11d9,vn-50009109-848c5d7dd70a80393a90e364718b36b2,0,1688381228,0
11036793,mubaohiemroyalchinhhang,Royal,115491915,e381edd52c9efd518761a44fd4f62d1b,75d0f3211ae893788fff743cc615979e,0,1620981896,0
11036793,daunhotapsaigonpetro,Saigon Petro,580339904,42036ea8ba460b8ad917ecda3b7399ad,ed9c163bd678cb0f5d0318c4396824fe,0,1643018356,0
11036793,cind.vn,shopnoithatotocind,52791699,56f6b88e6aefffd3cb8e65cd6dee0be6,bf9f2b143ed8dd17658ed7198223e774,0,1658227356,0
11036793,soeasy.mall,So easy,653939216,8ad3ee3d742c67b1434571d35183b79f,42095f3c01630e2337db878f5bed4865,0,1645461597,0
11036793,sontunganhtapco.ltd,Sơn Tùng Anh Tapco,473817487,85dc7771effd688781f00508ba349d20,80ee32aea7b5ddc663132f1266d8d4b8,0,1629276211,0
11036793,warningzone,SRT,281960897,a72d20e61d35888d5ec7ed14fa2a0b67,614fef167b2a9e26bb911668627dcac0,0,1620981896,0
11036793,tamluan_official,Tâm Luân,426154278,223bf55bef504eedf02f58c47a31a16e,aa81eb145f8d5debae4a3f50401c21f8,0,1668999935,0
11036793,tankebicycle.vn,Tanke Official Store,362581633,1288bc7fd7115432f5737dc6f85718cb,797a692e305e965f4691f47ca9fd0bea,0,1645446778,0
11036793,mubaohiemroyalchinhhang,Torc,115491915,164ae790c2f1b10d9ee1301d5c3b8bfb,9006b9530283b09cadb89ec99a349f74,14653370,1620981896,0
11036793,trumsidothien,Trùm Sỉ Đỗ Thiện,27888345,vn-50009109-1b0445c3d0ec093de58d23608bf5c8b4,vn-50009109-7482fab89c1d7419ba53cd4d6929675b,0,1689909084,0
11036793,vietmap_official_store,Vietmap,96537614,71a662f12663b6b602833d5ffc011c1c,f7d987f507b5cfaaed817b5112614e37,0,1620981896,0
11036793,vinfast_official,Vinfast,230954155,d6e48c524a59bc082b8e96fd747b2d3b,991c7afa9bfa4edd0c35ed4b18330540,0,1620981896,0
11036793,viethung7153,Việt Hưng,16237192,9d2e4504652b48c42ac10859e7a05ce5,e1d6a1b7e542617efb74f0b19e95e7b9,0,1620981896,0
11036793,voltronic.official.store,voltronic.official.store,700348922,1961c454c5ce715c2b0f17e55f573f14,5dba87c43eb841a413e0c54d92ac1ce1,0,1651738668,0
11036793,westbiking.vn,Westbiking,293170631,951f853767dd08c2fd71bf51dfe8daaa,f02976192d49aa7459da9fbde52809ca,0,1620981896,0
11036793,wurth_vietnam,wurth_vietnam,225353221,d743a5396c9fbfbffbf6836fd6d660b0,5a5904f30398a4e1de116e0b004c9c57,0,1663582869,0
11036793,xemayhathanh06,Xe máy Hà Thành,238016896,ad3d378b6e5649c5308a4b9ac688fd58,fb6b46323b3c39f8c89289048180d9b5,0,1620981896,0
11036793,yamaha74khamthien,Yamaha 74 Khâm Thiên,304945138,f483be59f44cab37d72a054ffccfa7b3,d9f827426f74b1e4c9594115c245baa8,0,1620981896,0
11036793,phucloctoan_phutungxemay,Yamaha Phúc Lộc Toàn,134176574,6781563abc80433b88f8f4dfe78cbe03,972fc3662dfff2fbb80fa2b0b64ca540,0,1620981896,0
11036793,3m_vietnam_store,3M,157594197,c9b19d87a144a4f9e53966180b67eb84,cc32f016fefbe40c8e6b1a383b7d67c1,0,1620981896,0
11036525,ajinomoto_official_store,Ajinomoto Official Store,319166665,4200faa1dc00ecff88e645a8faaa983a,7280bdfd7ad3f6936b8729cd3d5d2dfc,0,1620981896,0
11036525,almondbreezevn,Almond Breeze,181753337,003ec7e8a2e1814dd9124748ded88a34,67afb2bc2714cbc6700d43b3684c65ce,0,1620981895,0
